MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
PUEBLA,1586,1907,406,58,180,88,114,1256,354,41,36,1,253,14,34,21,4907,14482,ALTA (AAA)
CUAUTLANCINGO,325,2431,344,61,142,57,104,783,360,39,29,2,178,14,25,13,4677,14078,ALTA (AAA)
SAN PEDRO CHOLULA,1840,2605,237,49,100,64,111,682,413,33,22,5,124,4,28,8,4576,10818,ALTA (AAA)
CUAUTLANCINGO,339,2100,353,53,152,68,107,855,348,32,24,2,191,11,17,16,4434,11199,ALTA (AAA)
OCOYUCAN,858,1590,881,253,234,69,57,583,146,25,30,18,87,15,22,20,4130,7347,ALTA (AAA)
PUEBLA,1596,1103,512,47,205,118,83,924,224,24,14,8,314,24,41,36,3827,14393,ALTA (AAA)
SAN ANDRES CHOLULA,1663,2277,251,36,92,31,82,458,351,32,31,5,93,6,9,13,3816,9196,ALTA (AAA)
SAN ANDRES CHOLULA,1669,2358,143,23,70,41,70,310,308,25,19,1,85,4,15,8,3528,7949,ALTA (AAA)
PUEBLA,1205,1483,316,49,123,69,81,764,250,23,17,7,173,9,33,14,3524,10502,ALTA (AAA)
PUEBLA,1405,1351,357,42,98,67,68,775,277,28,27,3,233,8,30,11,3487,9712,ALTA (AAA)
PUEBLA,1587,1279,420,47,150,53,74,793,211,26,23,3,228,11,28,20,3460,10956,ALTA (AAA)
SAN ANDRES CHOLULA,1665,1938,187,51,60,38,78,444,315,29,25,3,108,8,17,7,3363,8181,ALTA (AAA)
PUEBLA,1246,1313,336,58,169,55,63,685,225,15,22,3,170,6,19,15,3247,12867,ALTA (AAA)
PUEBLA,1552,1653,191,43,66,31,69,511,246,18,12,4,99,3,14,8,3029,8350,ALTA (AAA)
PUEBLA,1065,882,357,51,124,75,60,743,188,15,20,2,291,18,37,16,3005,11969,ALTA (AAA)
TEHUACAN,1934,695,391,26,206,154,30,1056,52,10,13,2,185,19,30,26,2996,14010,ALTA (AAA)
PUEBLA,1415,869,370,40,134,104,65,768,142,25,24,8,232,13,29,17,2950,11802,ALTA (AAA)
PUEBLA,1411,420,413,17,201,86,36,589,94,12,17,0,277,38,37,17,2939,12440,ALTA (AAA)
PUEBLA,1562,1138,268,36,111,42,72,627,186,10,18,2,126,8,23,17,2752,8240,ALTA (AAA)
PUEBLA,1249,614,406,33,184,92,48,662,141,11,16,3,281,19,26,27,2699,11741,ALTA (AAA)
PUEBLA,1413,667,349,43,157,78,43,633,123,16,17,6,261,28,37,20,2593,10625,ALTA (AAA)
PUEBLA,1214,784,284,41,131,52,57,686,176,26,15,4,195,12,23,11,2583,8792,ALTA (AAA)
CORONANGO,291,979,326,45,102,60,72,518,199,16,14,2,119,8,18,5,2566,13301,ALTA (AAA)
TEHUACAN,1936,700,225,24,124,91,37,793,54,4,12,1,166,19,29,16,2363,9833,MEDIA (AA)
QUECHOLAC,1619,168,107,32,244,117,160,1029,24,13,5,3,225,30,75,39,2358,4176,MEDIA (AA)
PUEBLA,1035,723,183,29,79,46,41,491,112,10,9,2,120,8,23,14,2340,3026,MEDIA (AA)
TEHUACAN,1986,420,314,21,217,105,33,860,35,11,3,7,136,19,39,15,2315,11257,MEDIA (AA)
VICENTE GUERRERO,2359,507,238,7,404,41,16,69,139,135,132,11,147,137,128,25,2210,2504,MEDIA (AA)
