MUNICIPIO,SECCION ELECTORAL,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
PUEBLA,1586,1907,406,58,180,88,114,1256,354,41,36,1,253,14,34,21,4907,14482,ALTA (AAA)
PUEBLA,1596,1103,512,47,205,118,83,924,224,24,14,8,314,24,41,36,3827,14393,ALTA (AAA)
PUEBLA,1205,1483,316,49,123,69,81,764,250,23,17,7,173,9,33,14,3524,10502,ALTA (AAA)
PUEBLA,1405,1351,357,42,98,67,68,775,277,28,27,3,233,8,30,11,3487,9712,ALTA (AAA)
PUEBLA,1587,1279,420,47,150,53,74,793,211,26,23,3,228,11,28,20,3460,10956,ALTA (AAA)
PUEBLA,1246,1313,336,58,169,55,63,685,225,15,22,3,170,6,19,15,3247,12867,ALTA (AAA)
PUEBLA,1552,1653,191,43,66,31,69,511,246,18,12,4,99,3,14,8,3029,8350,ALTA (AAA)
PUEBLA,1065,882,357,51,124,75,60,743,188,15,20,2,291,18,37,16,3005,11969,ALTA (AAA)
PUEBLA,1415,869,370,40,134,104,65,768,142,25,24,8,232,13,29,17,2950,11802,ALTA (AAA)
PUEBLA,1411,420,413,17,201,86,36,589,94,12,17,0,277,38,37,17,2939,12440,ALTA (AAA)
PUEBLA,1562,1138,268,36,111,42,72,627,186,10,18,2,126,8,23,17,2752,8240,ALTA (AAA)
PUEBLA,1249,614,406,33,184,92,48,662,141,11,16,3,281,19,26,27,2699,11741,ALTA (AAA)
PUEBLA,1413,667,349,43,157,78,43,633,123,16,17,6,261,28,37,20,2593,10625,ALTA (AAA)
PUEBLA,1214,784,284,41,131,52,57,686,176,26,15,4,195,12,23,11,2583,8792,ALTA (AAA)
PUEBLA,1035,723,183,29,79,46,41,491,112,10,9,2,120,8,23,14,2340,3026,MEDIA (AA)
PUEBLA,1593,598,250,25,84,41,38,485,93,9,9,4,159,19,30,14,1918,10166,MEDIA (AA)
PUEBLA,1595,498,341,25,99,43,41,377,105,8,11,7,194,16,26,16,1899,7367,MEDIA (AA)
PUEBLA,1252,599,231,25,78,35,36,464,99,12,17,1,121,8,18,17,1843,6884,MEDIA (AA)
PUEBLA,1417,485,320,34,115,61,26,378,87,8,15,1,131,17,18,16,1779,7272,MEDIA (AA)
PUEBLA,1561,859,120,27,50,25,36,333,130,25,10,0,62,6,7,7,1741,3801,MEDIA (AA)
PUEBLA,1206,686,166,26,63,38,37,384,128,12,10,1,113,8,13,9,1740,4839,MEDIA (AA)
PUEBLA,1397,413,217,25,115,41,31,429,93,18,8,2,164,24,30,19,1710,6420,MEDIA (AA)
PUEBLA,1188,874,106,16,35,17,32,274,107,12,10,2,54,0,13,4,1616,3082,MEDIA (AA)
PUEBLA,1390,472,208,28,81,38,33,355,93,7,11,0,115,5,10,9,1510,4123,MEDIA (AA)
PUEBLA,1398,388,228,11,71,41,19,360,89,10,12,2,133,31,29,19,1509,5433,MEDIA (AA)
PUEBLA,1605,347,266,19,82,49,22,359,59,10,10,3,153,12,19,10,1487,6810,MEDIA (AA)
PUEBLA,1259,281,626,27,153,33,13,140,26,4,8,2,62,15,5,4,1466,6053,MEDIA (AA)
PUEBLA,1534,452,213,11,91,24,32,324,93,8,17,2,98,4,13,14,1456,4186,MEDIA (AA)
PUEBLA,1242,378,203,21,96,45,29,373,63,10,9,1,131,6,19,10,1441,5558,MEDIA (AA)
PUEBLA,1193,594,144,33,55,19,31,280,97,12,13,1,70,6,12,8,1420,3244,MEDIA (AA)
PUEBLA,1320,505,115,13,50,25,31,400,91,10,10,0,89,2,14,2,1398,2756,MEDIA (AA)
PUEBLA,1128,726,91,25,38,22,37,175,141,16,20,1,58,6,8,4,1394,4300,MEDIA (AA)
PUEBLA,1248,509,124,15,87,25,32,338,68,7,15,0,93,10,12,6,1388,4737,MEDIA (AA)
PUEBLA,1434,530,154,17,65,31,34,291,100,7,9,3,78,4,10,8,1372,1273,MEDIA (AA)
PUEBLA,1567,816,52,14,26,13,30,192,122,9,15,0,39,0,9,3,1366,2598,MEDIA (AA)
PUEBLA,1251,441,140,20,63,21,33,343,91,10,9,1,75,9,10,4,1317,3748,MEDIA (AA)
PUEBLA,1061,462,130,11,52,49,27,310,85,6,13,4,93,3,13,8,1300,3664,MEDIA (AA)
PUEBLA,1555,445,178,17,53,22,33,339,64,12,3,2,61,8,12,7,1299,3635,MEDIA (AA)
PUEBLA,1396,344,159,19,76,52,33,331,69,8,9,0,106,11,16,11,1292,4051,MEDIA (AA)
PUEBLA,1055,460,135,13,66,24,27,325,84,6,3,2,85,8,12,5,1280,4108,MEDIA (AA)
PUEBLA,1127,511,111,19,46,25,19,243,96,15,13,4,70,2,5,7,1233,3513,BAJA (A)
PUEBLA,1537,372,161,30,58,29,33,293,48,10,6,1,90,12,13,6,1224,3802,BAJA (A)
PUEBLA,1221,399,151,24,54,34,24,245,83,9,9,1,96,8,10,8,1219,3964,BAJA (A)
PUEBLA,1400,442,139,11,44,15,33,278,85,10,16,3,70,7,8,2,1215,3107,BAJA (A)
PUEBLA,1076,276,208,22,83,49,24,271,71,9,5,3,97,18,19,10,1211,8070,BAJA (A)
PUEBLA,1238,422,156,22,50,25,23,237,98,11,10,0,92,4,10,10,1208,3518,BAJA (A)
PUEBLA,1155,889,15,11,7,6,33,48,131,7,9,1,15,1,1,1,1181,1917,BAJA (A)
PUEBLA,1565,382,145,14,65,19,30,252,77,12,9,2,86,5,20,12,1174,3804,BAJA (A)
PUEBLA,1201,434,130,16,55,16,24,262,75,6,6,4,74,8,7,7,1173,3218,BAJA (A)
PUEBLA,1213,332,135,19,54,27,32,321,79,11,4,1,89,4,15,4,1173,4090,BAJA (A)
PUEBLA,1060,355,227,17,52,29,26,214,53,15,5,2,89,6,19,10,1170,5007,BAJA (A)
PUEBLA,1129,618,51,10,32,12,28,187,126,13,12,2,41,3,9,3,1169,2604,BAJA (A)
PUEBLA,1408,370,160,9,59,48,14,263,62,4,5,2,70,8,14,10,1156,4454,BAJA (A)
PUEBLA,1578,324,147,13,64,32,21,326,64,5,8,3,73,6,15,5,1156,2327,BAJA (A)
PUEBLA,1196,412,91,17,42,35,26,285,87,13,9,3,79,3,11,4,1153,2981,BAJA (A)
PUEBLA,1375,320,139,13,64,32,19,282,62,14,7,1,109,11,16,7,1143,3883,BAJA (A)
PUEBLA,1204,427,103,14,41,18,38,269,78,12,4,3,79,1,8,5,1140,3281,BAJA (A)
PUEBLA,1199,377,109,25,43,22,23,304,70,6,8,0,60,9,42,5,1137,2919,BAJA (A)
