SECCION,MUNICIPIO,JA
1602,PUEBLA,EL OASIS
1607,PUEBLA,EL OASIS
1606,PUEBLA,GUADALUPE VICTORIA
947,PUEBLA,IGNACIO ROMERO VARGAS
948,PUEBLA,IGNACIO ROMERO VARGAS
950,PUEBLA,IGNACIO ROMERO VARGAS
951,PUEBLA,IGNACIO ROMERO VARGAS
952,PUEBLA,IGNACIO ROMERO VARGAS
976,PUEBLA,IGNACIO ROMERO VARGAS
977,PUEBLA,IGNACIO ROMERO VARGAS
978,PUEBLA,IGNACIO ROMERO VARGAS
1008,PUEBLA,IGNACIO ROMERO VARGAS
944,PUEBLA,LA LIBERTAD
945,PUEBLA,LA LIBERTAD
946,PUEBLA,LA LIBERTAD
953,PUEBLA,LA LIBERTAD
954,PUEBLA,LA LIBERTAD
955,PUEBLA,LA LIBERTAD
974,PUEBLA,LA LIBERTAD
975,PUEBLA,LA LIBERTAD
979,PUEBLA,LA LIBERTAD
980,PUEBLA,LA LIBERTAD
1411,PUEBLA,LA RESURRECCION
1412,PUEBLA,LA RESURRECCION
1413,PUEBLA,LA RESURRECCION
1260,PUEBLA,LIBERTAD TECOLA
1606,PUEBLA,LOS CANTILES
1172,PUEBLA,SAN BALTAZAR CAMPECHE
1173,PUEBLA,SAN BALTAZAR CAMPECHE
1181,PUEBLA,SAN BALTAZAR CAMPECHE
1452,PUEBLA,SAN BALTAZAR CAMPECHE
1453,PUEBLA,SAN BALTAZAR CAMPECHE
1454,PUEBLA,SAN BALTAZAR CAMPECHE
1471,PUEBLA,SAN BALTAZAR CAMPECHE
1472,PUEBLA,SAN BALTAZAR CAMPECHE
1473,PUEBLA,SAN BALTAZAR CAMPECHE
1474,PUEBLA,SAN BALTAZAR CAMPECHE
1475,PUEBLA,SAN BALTAZAR CAMPECHE
1476,PUEBLA,SAN BALTAZAR CAMPECHE
1477,PUEBLA,SAN BALTAZAR CAMPECHE
1505,PUEBLA,SAN BALTAZAR CAMPECHE
1607,PUEBLA,SAN BALTAZAR TETELA
1608,PUEBLA,SAN BALTAZAR TETELA
1609,PUEBLA,SAN BALTAZAR TETELA
1032,PUEBLA,SAN FELIPE HUEYOTLIPAN
1033,PUEBLA,SAN FELIPE HUEYOTLIPAN
1044,PUEBLA,SAN FELIPE HUEYOTLIPAN
1051,PUEBLA,SAN FELIPE HUEYOTLIPAN
1052,PUEBLA,SAN FELIPE HUEYOTLIPAN
1053,PUEBLA,SAN FELIPE HUEYOTLIPAN
1055,PUEBLA,SAN FELIPE HUEYOTLIPAN
1563,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1590,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1591,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1592,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1593,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1599,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1600,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1603,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1605,PUEBLA,SAN FRANCISCO TOTIMEHUACAN
1050,PUEBLA,SAN JERONIMO CALERAS
1055,PUEBLA,SAN JERONIMO CALERAS
1056,PUEBLA,SAN JERONIMO CALERAS
1057,PUEBLA,SAN JERONIMO CALERAS
1061,PUEBLA,SAN JERONIMO CALERAS
1062,PUEBLA,SAN JERONIMO CALERAS
1260,PUEBLA,SAN JOSE EL RINCON
1418,PUEBLA,SAN MIGUEL CANOA
1419,PUEBLA,SAN MIGUEL CANOA
1420,PUEBLA,SAN MIGUEL CANOA
1421,PUEBLA,SAN MIGUEL CANOA
1422,PUEBLA,SAN MIGUEL CANOA
1601,PUEBLA,SAN MIGUEL ESPEJO
1064,PUEBLA,SAN PABLO XOCHIMEHUACAN
1066,PUEBLA,SAN PABLO XOCHIMEHUACAN
1067,PUEBLA,SAN PABLO XOCHIMEHUACAN
1068,PUEBLA,SAN PABLO XOCHIMEHUACAN
1072,PUEBLA,SAN PABLO XOCHIMEHUACAN
1073,PUEBLA,SAN PABLO XOCHIMEHUACAN
1074,PUEBLA,SAN PABLO XOCHIMEHUACAN
1606,PUEBLA,SAN PEDRO ZACACHIMALPA
1409,PUEBLA,SAN SEBASTIAN DE APARICIO
1410,PUEBLA,SAN SEBASTIAN DE APARICIO
2622,PUEBLA,SAN SEBASTIAN DE APARICIO
1255,PUEBLA,SANTA CRUZ LA IXTLA
2550,PUEBLA,SANTA CRUZ XONACATEPEC
1260,PUEBLA,SANTA MARIA GUADALUPE TECOLA
1414,PUEBLA,SANTA MARIA XONACATEPEC
1416,PUEBLA,SANTA MARIA XONACATEPEC
1417,PUEBLA,SANTA MARIA XONACATEPEC
1603,PUEBLA,SANTO TOMAS CHAUTLA
1604,PUEBLA,SANTO TOMAS CHAUTLA
1187,PUEBLA,TLAXCALANCINGO
2643,PUEBLA,TLAXCALANCINGO
2663,PUEBLA,TLAXCALANCINGO
