clave,municipio
1,ACAJETE
2,ACATENO
3,ACATLAN
4,ACATZINGO
5,ACTEOPAN
6,AHUACATLAN
7,AHUATLAN
8,AHUAZOTEPEC
9,AHUEHUETITLA
10,AJALPAN
11,ALBINO ZERTUCHE
12,ALJOJUCA
13,ALTEPEXI
14,AMIXTLAN
15,AMOZOC
16,AQUIXTLA
17,ATEMPAN
18,ATEXCAL
19,ATLIXCO
20,ATOYATEMPAN
21,ATZALA
22,ATZITZIHUACAN
23,ATZITZINTLA
24,AXUTLA
25,AYOTOXCO DE GUERRERO
26,CALPAN
27,CALTEPEC
28,CAMOCUAUTLA
29,CAÑADA MORELOS
30,CAXHUACAN
31,COATEPEC
32,COATZINGO
33,COHETZALA
34,COHUECAN
35,CORONANGO
36,COXCATLAN
37,COYOMEAPAN
38,COYOTEPEC
39,CUAPIAXTLA DE MADERO
40,CUAUTEMPAN
41,CUAUTINCHAN
42,CUAUTLANCINGO
43,CUAYUCA DE ANDRADE
44,CUETZALAN DEL PROGRESO
45,CUYOACO
46,CHALCHICOMULA DE SESMA
47,CHAPULCO
48,CHIAUTLA
49,CHIAUTZINGO
50,CHICONCUAUTLA
51,CHICHIQUILA
52,CHIETLA
53,CHIGMECATITLAN
54,CHIGNAHUAPAN
55,CHIGNAUTLA
56,CHILA
57,CHILA DE LA SAL
58,HONEY
59,CHILCHOTLA
60,CHINANTLA
61,DOMINGO ARENAS
62,ELOXOCHITLAN
63,EPATLAN
64,ESPERANZA
65,FRANCISCO Z. MENA
66,GENERAL FELIPE ANGELES
67,GUADALUPE
68,GUADALUPE VICTORIA
69,HERMENEGILDO GALEANA
70,HUAQUECHULA
71,HUATLATLAUCA
72,HUAUCHINANGO
73,HUEHUETLA
74,HUEHUETLAN EL CHICO
75,HUEHUETLAN EL GRANDE
76,HUEJOTZINGO
77,HUEYAPAN
78,HUEYTAMALCO
79,HUEYTLALPAN
80,HUITZILAN DE SERDAN
81,HUITZILTEPEC
82,ATLEQUIZAYAN
83,IXCAMILPA DE GUERRERO
84,IXCAQUIXTLA
85,IXTACAMAXTITLAN
86,IXTEPEC
87,IZUCAR DE MATAMOROS
88,JALPAN
89,JOLALPAN
90,JONOTLA
91,JOPALA
92,JUAN C. BONILLA
93,JUAN GALINDO
94,JUAN N. MENDEZ
95,LAFRAGUA
96,LIBRES
97,LA MAGDALENA TLATLAUQUITEPEC
98,MAZAPILTEPEC DE JUAREZ
99,MIXTLA
100,MOLCAXAC
101,NAUPAN
102,NAUZONTLA
103,NEALTICAN
104,NICOLAS BRAVO
105,NOPALUCAN
106,OCOTEPEC
107,OCOYUCAN
108,OLINTLA
109,ORIENTAL
110,PAHUATLAN
111,PALMAR DE BRAVO
112,PANTEPEC
113,PETLALCINGO
114,PIAXTLA
115,PUEBLA
116,QUECHOLAC
117,QUIMIXTLAN
118,RAFAEL LARA GRAJALES
119,LOS REYES DE JUAREZ
120,SAN ANDRES CHOLULA
121,SAN ANTONIO CAÑADA
122,SAN DIEGO LA MESA TOCHIMILTZINGO
123,SAN FELIPE TEOTLALCINGO
124,SAN FELIPE TEPATLAN
125,SAN GABRIEL CHILAC
126,SAN GREGORIO ATZOMPA
127,SAN JERONIMO TECUANIPAN
128,SAN JERONIMO XAYACATLAN
129,SAN JOSE CHIAPA
130,SAN JOSE MIAHUATLAN
131,SAN JUAN ATENCO
132,SAN JUAN ATZOMPA
133,SAN MARTIN TEXMELUCAN
134,SAN MARTIN TOTOLTEPEC
135,SAN MATIAS TLALANCALECA
136,SAN MIGUEL IXITLAN
137,SAN MIGUEL XOXTLA
138,SAN NICOLAS BUENOS AIRES
139,SAN NICOLAS DE LOS RANCHOS
140,SAN PABLO ANICANO
141,SAN PEDRO CHOLULA
142,SAN PEDRO YELOIXTLAHUACA
143,SAN SALVADOR EL SECO
144,SAN SALVADOR EL VERDE
145,SAN SALVADOR HUIXCOLOTLA
146,SANTA CATARINA TLALTEMPAN
147,SANTA INES AHUATEMPAN
148,SANTA ISABEL CHOLULA
149,SANTIAGO MIAHUATLAN
150,SANTO TOMAS HUEYOTLIPAN
151,SOLTEPEC
152,TECALI DE HERRERA
153,TECAMACHALCO
154,TECOMATLAN
155,TEHUACAN
156,TEHUITZINGO
157,TENAMPULCO
158,TEOPANTLAN
159,TEOTLALCO
160,TEPANCO DE LOPEZ
161,TEPANGO DE RODRIGUEZ
162,TEPATLAXCO DE HIDALGO
163,TEPEACA
164,TEPEMAXALCO
165,TEPEOJUMA
166,TEPETZINTLA
167,TEPEXCO
168,TEPEXI DE RODRIGUEZ
169,TEPEYAHUALCO
170,TEPEYAHUALCO DE CUAUHTEMOC
171,TETELA DE OCAMPO
172,TETELES DE AVILA CASTILLO
173,TEZIUTLAN
174,TIANGUISMANALCO
175,TILAPA
176,TLACOTEPEC DE BENITO JUAREZ
177,SAN SEBASTIAN TLACOTEPEC
178,TLACUILOTEPEC
179,TLACHICHUCA
180,TLAHUAPAN
181,TLALTENANGO
182,TLANEPANTLA
183,TLAOLA
184,TLAPACOYA
185,TLAPANALA
186,TLATLAUQUITEPEC
187,TLAXCO
188,TOCHIMILCO
189,TOCHTEPEC
190,TOTOLTEPEC DE GUERRERO
191,TULCINGO
192,TUZAMAPAN DE GALEANA
193,TZICATLACOYAN
194,VENUSTIANO CARRANZA
195,VICENTE GUERRERO
196,XAYACATLAN DE BRAVO
197,XICOTEPEC
198,XICOTLAN
199,XIUTETELCO
200,XOCHIAPULCO
201,XOCHILTEPEC
202,XOCHITLAN DE VICENTE SUAREZ
203,XOCHITLAN TODOS SANTOS
204,YAONAHUAC
205,YEHUALTEPEC
206,ZACAPALA
207,ZACAPOAXTLA
208,ZACATLAN
209,ZAPOTITLAN
210,ZAPOTITLAN DE MENDEZ
211,ZARAGOZA
212,ZAUTLA
213,ZIHUATEUTLA
214,ZINACATEPEC
215,ZONGOZOTLA
216,ZOQUIAPAN
217,ZOQUITLAN
