MUNICIPIO,SECCION,TIPO
SAN MARTIN TEXMELUCAN,1720,URBANO(A)
SAN MARTIN TEXMELUCAN,1721,URBANO(A)
SAN MARTIN TEXMELUCAN,1722,URBANO(A)
SAN MARTIN TEXMELUCAN,1723,URBANO(A)
SAN MARTIN TEXMELUCAN,1724,URBANO(A)
SAN MARTIN TEXMELUCAN,1725,URBANO(A)
SAN MARTIN TEXMELUCAN,1726,URBANO(A)
SAN MARTIN TEXMELUCAN,1727,URBANO(A)
SAN MARTIN TEXMELUCAN,1728,URBANO(A)
SAN MARTIN TEXMELUCAN,1729,URBANO(A)
SAN MARTIN TEXMELUCAN,1730,URBANO(A)
SAN MARTIN TEXMELUCAN,1731,URBANO(A)
SAN MARTIN TEXMELUCAN,1732,URBANO(A)
SAN MARTIN TEXMELUCAN,1733,URBANO(A)
SAN MARTIN TEXMELUCAN,1734,URBANO(A)
SAN MARTIN TEXMELUCAN,1735,URBANO(A)
SAN MARTIN TEXMELUCAN,1736,URBANO(A)
SAN MARTIN TEXMELUCAN,1737,URBANO(A)
SAN MARTIN TEXMELUCAN,1738,URBANO(A)
SAN MARTIN TEXMELUCAN,1740,URBANO(A)
SAN MARTIN TEXMELUCAN,1739,URBANO(A)
SAN MARTIN TEXMELUCAN,1741,URBANO(A)
SAN MARTIN TEXMELUCAN,1742,URBANO(A)
SAN MARTIN TEXMELUCAN,1743,URBANO(A)
SAN MARTIN TEXMELUCAN,1744,URBANO(A)
SAN MARTIN TEXMELUCAN,1745,URBANO(A)
SAN MARTIN TEXMELUCAN,1746,URBANO(A)
SAN MARTIN TEXMELUCAN,1747,URBANO(A)
SAN MARTIN TEXMELUCAN,1748,URBANO(A)
SAN MARTIN TEXMELUCAN,1749,URBANO(A)
SAN MARTIN TEXMELUCAN,1750,URBANO(A)
SAN MARTIN TEXMELUCAN,1751,URBANO(A)
SAN MARTIN TEXMELUCAN,1752,URBANO(A)
SAN MARTIN TEXMELUCAN,1753,URBANO(A)
SAN MARTIN TEXMELUCAN,1755,URBANO(A)
SAN MARTIN TEXMELUCAN,1757,URBANO(A)
SAN MARTIN TEXMELUCAN,1758,URBANO(A)
SAN MARTIN TEXMELUCAN,1759,URBANO(A)
SAN MARTIN TEXMELUCAN,1760,URBANO(A)
SAN MARTIN TEXMELUCAN,1761,URBANO(A)
SAN MARTIN TEXMELUCAN,1762,URBANO(A)
SAN MARTIN TEXMELUCAN,1763,URBANO(A)
SAN MARTIN TEXMELUCAN,1764,URBANO(A)
SAN MARTIN TEXMELUCAN,1765,URBANO(A)
SAN MARTIN TEXMELUCAN,1766,URBANO(A)
SAN MARTIN TEXMELUCAN,1767,URBANO(A)
SAN MARTIN TEXMELUCAN,1768,URBANO(A)
SAN MARTIN TEXMELUCAN,1769,URBANO(A)
SAN MARTIN TEXMELUCAN,1770,URBANO(A)
SAN MARTIN TEXMELUCAN,1771,URBANO(A)
SAN MARTIN TEXMELUCAN,1772,URBANO(A)
SAN MARTIN TEXMELUCAN,1773,MIXTO(A)
SAN MARTIN TEXMELUCAN,2769,URBANO(A)
SAN MARTIN TEXMELUCAN,2770,URBANO(A)
SAN MARTIN TEXMELUCAN,2771,URBANO(A)
SAN MARTIN TEXMELUCAN,2772,URBANO(A)
SAN MARTIN TEXMELUCAN,2773,URBANO(A)
