,DISTRITO L,SECCION ELECTORAL,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ES,PCPP,PSI,NAP,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,TOTAL DE VOTOS,LISTA NOMINAL,DISTRITO F,GANADOR
0,1,499187,10815,25933,1971,5364,5026,7168,22210,0,33,2129,751,5216,853,841,15849,0,108110,161179,293,MC
1,2,271417,16327,21955,7059,3329,3880,15286,18769,0,4301,2981,11391,1050,2279,1305,0,0,115125,162848,336,MC
2,3,381238,7104,31172,1324,13011,3771,4328,23647,0,315,2621,4432,2012,3802,6829,0,0,108544,173774,654,PVEM
3,4,528952,9574,34628,2729,9967,6351,7003,30785,0,2395,4108,5793,1074,751,2737,0,0,122509,170631,665,PVEM
4,5,329984,12196,30031,3422,8486,6717,5299,12125,0,1069,5175,10750,4735,786,6228,0,0,110926,163313,852,PVEM
5,6,494477,18490,18163,597,2486,6782,12643,20474,0,6506,963,3407,3113,1498,6003,4138,0,108768,170462,953,MC
6,7,533385,13846,11307,1880,5935,5392,11872,11782,0,3327,3353,5259,4111,561,1369,8090,0,91285,187250,1360,MC
7,8,215898,10552,10158,8673,6291,5918,7097,17914,0,2203,4649,4327,5121,11702,6795,368,0,105457,191035,2064,MC
8,9,239352,35441,5586,1195,2296,2010,1588,29098,0,2497,2461,1314,958,720,1349,6537,0,95773,203162,2785,PVEM
9,10,454008,32398,7009,1265,2661,2105,1899,27469,0,1245,382,1775,876,996,1298,0,0,84509,201703,2229,PVEM
10,11,410676,22296,7187,1050,2320,1692,1808,24391,0,1192,491,1644,878,752,1330,0,0,69821,192419,1440,PVEM
11,12,202465,10619,10555,3116,5189,5892,8240,22570,0,3108,4745,13908,3551,3913,5263,963,0,106324,180906,1792,MC
12,13,386317,10026,19632,3678,8353,9177,4875,26906,0,766,8285,1042,1304,3039,969,0,0,101364,173188,1623,PVEM
13,14,305329,20501,17959,1931,13091,4630,18516,17957,0,5533,2937,3859,1077,343,4018,0,0,116322,169186,1576,MC
14,15,424753,9323,10835,6685,4747,2814,2382,15668,0,2169,22131,7792,1213,2715,3249,2701,0,97463,165488,2016,PVEM
15,16,509406,40480,8675,1396,2987,2194,2047,27236,0,1430,827,1731,1223,867,1775,0,0,96152,204121,3582,PVEM
16,17,470236,59886,9118,1658,2744,2028,2029,27149,0,1420,551,1466,1113,697,1407,0,0,114218,216977,4012,PVEM
17,18,602454,39225,5426,1016,1627,1953,1869,29439,0,2228,438,883,7278,534,1628,8545,4936,109881,211857,3020,MC
18,19,500757,39495,7790,1669,2974,2275,1901,28519,0,2369,650,2274,1138,893,1290,0,0,96522,202749,3355,PVEM
19,20,564331,24081,10200,1634,2082,2773,1455,22923,0,1104,508,1418,947,806,1653,0,0,74747,194838,2924,PVEM
20,21,226207,17948,11700,5893,4854,6365,4745,30076,0,784,2341,3875,2073,1497,3193,0,0,98518,188124,3955,PVEM
21,22,293861,7946,27390,3176,1366,3929,9437,27854,0,3673,7584,3073,2605,2170,7436,0,0,111575,187680,4703,MC
22,23,430361,12058,31941,10680,5992,6790,4948,23797,0,1455,2815,1695,3071,2161,3045,0,0,114516,176703,4816,PVEM
23,24,523378,10294,17386,620,4261,4968,872,19965,0,2159,10202,5602,3264,350,7024,0,0,90300,175384,3757,PVEM
24,25,478372,8683,15579,608,8003,8048,3657,24666,0,1466,7813,1328,1558,1500,4437,0,0,90865,181474,3705,PVEM
25,26,334793,21796,25092,5667,8542,12670,6550,16089,0,3729,3541,4069,1672,3125,585,0,0,117493,172470,4608,PVEM
