SECCION ELECTORAL,MUNICIPIO,PAN_CONVERGENCIA_NA_PRD,PRI_VERDE,PT,CANDIDATOS NO REGISTRADOS,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1,ACAJETE,0,0,0,0,0,611,BÁSICA,7,12
1,ACAJETE,0,0,0,0,0,611,CONTIGUA 1,7,12
1,ACAJETE,0,0,0,0,0,612,CONTIGUA 2,7,12
2,ACAJETE,0,0,0,0,0,634,BÁSICA,7,12
2,ACAJETE,0,0,0,0,0,634,CONTIGUA 1,7,12
2,ACAJETE,0,0,0,0,0,635,CONTIGUA 2,7,12
3,ACAJETE,0,0,0,0,0,716,BÁSICA,7,12
3,ACAJETE,0,0,0,0,0,717,CONTIGUA 1,7,12
4,ACAJETE,99,191,55,0,361,628,BÁSICA,7,12
4,ACAJETE,0,0,0,0,0,628,CONTIGUA 1,7,12
4,ACAJETE,0,0,0,0,0,628,CONTIGUA 2,7,12
5,ACAJETE,0,0,0,0,0,596,BÁSICA,7,12
5,ACAJETE,0,0,0,0,0,596,CONTIGUA 1,7,12
5,ACAJETE,0,0,0,0,0,596,CONTIGUA 2,7,12
5,ACAJETE,0,0,0,0,0,596,CONTIGUA 3,7,12
6,ACAJETE,0,0,0,0,0,621,BÁSICA,7,12
6,ACAJETE,0,0,0,0,0,621,CONTIGUA 1,7,12
6,ACAJETE,0,0,0,0,0,622,CONTIGUA 2,7,12
7,ACAJETE,218,140,16,0,408,722,CONTIGUA 1,7,12
7,ACAJETE,257,125,6,0,415,722,CONTIGUA 2,7,12
7,ACAJETE,0,0,0,0,0,721,BÁSICA,7,12
8,ACAJETE,0,0,0,0,0,721,BÁSICA,7,12
8,ACAJETE,0,0,0,0,0,721,CONTIGUA 1,7,12
8,ACAJETE,0,0,0,0,0,721,CONTIGUA 2,7,12
9,ACAJETE,0,0,0,0,0,561,BÁSICA,7,12
9,ACAJETE,0,0,0,0,0,561,CONTIGUA 1,7,12
9,ACAJETE,0,0,0,0,0,561,CONTIGUA 2,7,12
10,ACAJETE,0,0,0,0,0,728,BÁSICA,7,12
10,ACAJETE,0,0,0,0,0,729,CONTIGUA 1,7,12
10,ACAJETE,0,0,0,0,0,729,CONTIGUA 2,7,12
11,ACAJETE,0,0,0,0,0,660,BÁSICA,7,12
11,ACAJETE,0,0,0,0,0,660,CONTIGUA 1,7,12
11,ACAJETE,0,0,0,0,0,661,CONTIGUA 2,7,12
12,ACAJETE,0,0,0,0,0,506,BÁSICA,7,12
12,ACAJETE,0,0,0,0,0,506,CONTIGUA 1,7,12
12,ACAJETE,0,0,0,0,0,506,CONTIGUA 2,7,12
13,ACAJETE,0,0,0,0,0,655,BÁSICA,7,12
13,ACAJETE,0,0,0,0,0,656,CONTIGUA 1,7,12
14,ACAJETE,97,140,12,0,541,539,CONTIGUA 1,7,12
14,ACAJETE,0,0,0,0,0,539,BÁSICA,7,12
14,ACAJETE,0,0,0,0,0,540,CONTIGUA 2,7,12
16,ACAJETE,78,86,9,0,186,604,CONTIGUA 2,7,12
16,ACAJETE,87,90,4,0,0,605,CONTIGUA 3,7,12
16,ACAJETE,0,0,0,0,0,604,BÁSICA,7,12
16,ACAJETE,0,0,0,0,0,604,CONTIGUA 1,7,12
17,ACAJETE,0,0,0,0,0,649,BÁSICA,7,12
17,ACAJETE,0,0,0,0,0,649,CONTIGUA 1,7,12
17,ACAJETE,0,0,0,0,0,649,CONTIGUA 2,7,12
17,ACAJETE,0,0,0,0,0,649,CONTIGUA 3,7,12
18,ACAJETE,0,0,0,0,0,717,BÁSICA,7,12
18,ACAJETE,0,0,0,0,0,718,CONTIGUA 1,7,12
18,ACAJETE,0,0,0,0,0,718,CONTIGUA 2,7,12
19,ACAJETE,0,0,0,0,0,713,BÁSICA,7,12
19,ACAJETE,0,0,0,0,0,713,CONTIGUA 1,7,12
20,ACATENO,246,133,106,0,496,701,CONTIGUA 1,3,5
20,ACATENO,241,132,107,0,503,700,BÁSICA,3,5
21,ACATENO,182,89,121,0,415,594,BÁSICA,3,5
21,ACATENO,241,91,79,0,419,595,CONTIGUA 1,3,5
22,ACATENO,241,100,84,0,438,576,BÁSICA,3,5
23,ACATENO,76,52,42,0,177,230,EXTRAORDINARIA 1,3,5
23,ACATENO,105,53,65,0,230,312,BÁSICA,3,5
24,ACATENO,108,60,27,0,197,252,BÁSICA,3,5
24,ACATENO,127,70,21,0,226,281,EXTRAORDINARIA 1,3,5
25,ACATENO,109,43,19,0,178,238,BÁSICA,3,5
26,ACATENO,121,86,80,0,310,420,BÁSICA,3,5
26,ACATENO,136,82,87,0,322,421,CONTIGUA 1,3,5
27,ACATENO,105,120,42,0,279,404,EXTRAORDINARIA 1,3,5
27,ACATENO,172,126,162,0,470,629,BÁSICA,3,5
28,ACATLAN,100,123,94,0,335,640,CONTIGUA 3,14,23
28,ACATLAN,139,103,97,0,346,639,CONTIGUA 1,14,23
28,ACATLAN,126,113,91,0,349,639,BÁSICA,14,23
28,ACATLAN,145,112,94,0,365,640,CONTIGUA 2,14,23
29,ACATLAN,107,111,77,0,304,624,CONTIGUA 3,14,23
29,ACATLAN,118,96,89,0,314,624,BÁSICA,14,23
29,ACATLAN,121,103,80,0,321,624,CONTIGUA 2,14,23
29,ACATLAN,131,118,71,0,328,624,CONTIGUA 1,14,23
30,ACATLAN,69,73,99,0,255,517,CONTIGUA 1,14,23
30,ACATLAN,54,80,114,1,258,517,CONTIGUA 2,14,23
30,ACATLAN,65,83,113,0,270,517,BÁSICA,14,23
31,ACATLAN,80,71,103,0,270,602,CONTIGUA 2,14,23
31,ACATLAN,64,82,131,0,284,602,CONTIGUA 1,14,23
31,ACATLAN,63,86,129,0,294,602,CONTIGUA 3,14,23
31,ACATLAN,52,91,152,0,302,601,BÁSICA,14,23
32,ACATLAN,98,123,85,0,320,637,BÁSICA,14,23
32,ACATLAN,111,127,82,0,332,637,CONTIGUA 2,14,23
32,ACATLAN,118,145,75,0,349,637,CONTIGUA 1,14,23
33,ACATLAN,64,111,105,0,291,576,BÁSICA,14,23
33,ACATLAN,82,102,109,0,304,577,CONTIGUA 2,14,23
33,ACATLAN,88,112,121,0,328,576,CONTIGUA 1,14,23
35,ACATLAN,148,117,28,0,306,563,CONTIGUA 1,14,23
35,ACATLAN,145,131,32,0,324,563,CONTIGUA 3,14,23
35,ACATLAN,169,119,29,0,335,562,BÁSICA,14,23
35,ACATLAN,148,151,26,0,340,563,CONTIGUA 2,14,23
36,ACATLAN,89,128,20,0,251,475,EXTRAORDINARIA 1,14,23
36,ACATLAN,90,150,26,0,0,541,BÁSICA,14,23
37,ACATLAN,68,51,30,0,158,383,EXTRAORDINARIA 2,14,23
37,ACATLAN,55,69,28,0,163,383,EXTRAORDINARIA 1,14,23
37,ACATLAN,83,132,56,0,283,638,CONTIGUA 1,14,23
37,ACATLAN,81,154,41,0,294,637,BÁSICA,14,23
38,ACATLAN,129,96,20,0,276,660,CONTIGUA 1,14,23
38,ACATLAN,155,88,14,0,315,659,BÁSICA,14,23
39,ACATLAN,22,108,53,0,187,386,EXTRAORDINARIA 1,14,23
39,ACATLAN,91,72,33,0,212,431,EXTRAORDINARIA 2,14,23
39,ACATLAN,69,124,41,1,257,524,CONTIGUA 1,14,23
39,ACATLAN,96,115,34,0,270,523,BÁSICA,14,23
40,ACATLAN,104,105,46,0,264,604,CONTIGUA 2,14,23
40,ACATLAN,84,126,53,0,278,604,CONTIGUA 1,14,23
40,ACATLAN,98,121,47,0,281,603,BÁSICA,14,23
41,ACATLAN,20,46,6,0,72,116,BÁSICA,14,23
41,ACATLAN,127,112,13,0,267,466,EXTRAORDINARIA 1,14,23
42,ACATLAN,19,85,4,0,116,305,BÁSICA,14,23
43,ACATLAN,100,80,9,0,207,473,BÁSICA,14,23
44,ACATLAN,60,88,26,0,194,553,EXTRAORDINARIA 1,14,23
44,ACATLAN,110,110,9,0,0,673,BÁSICA,14,23
45,ACATZINGO,235,109,32,0,384,596,BÁSICA,7,13
45,ACATZINGO,195,132,62,0,396,597,CONTIGUA 3,7,13
45,ACATZINGO,212,137,39,0,401,597,CONTIGUA 2,7,13
45,ACATZINGO,256,99,34,0,406,597,CONTIGUA 1,7,13
46,ACATZINGO,256,133,28,0,427,667,CONTIGUA 3,7,13
46,ACATZINGO,246,145,25,0,434,667,CONTIGUA 4,7,13
46,ACATZINGO,248,154,39,0,453,667,CONTIGUA 2,7,13
46,ACATZINGO,229,184,41,0,471,666,BÁSICA,7,13
46,ACATZINGO,250,168,56,0,485,666,CONTIGUA 1,7,13
47,ACATZINGO,230,154,31,0,429,657,CONTIGUA 1,7,13
47,ACATZINGO,230,160,37,0,435,657,CONTIGUA 2,7,13
47,ACATZINGO,216,182,30,0,440,656,BÁSICA,7,13
48,ACATZINGO,161,193,21,0,387,583,CONTIGUA 1,7,13
48,ACATZINGO,207,171,11,0,400,583,BÁSICA,7,13
49,ACATZINGO,159,129,36,0,331,543,CONTIGUA 2,7,13
49,ACATZINGO,159,135,34,0,337,542,CONTIGUA 1,7,13
49,ACATZINGO,168,138,25,0,341,542,BÁSICA,7,13
50,ACATZINGO,230,82,6,0,332,461,EXTRAORDINARIA 1,7,13
50,ACATZINGO,183,114,38,0,353,606,CONTIGUA 1,7,13
50,ACATZINGO,229,105,8,0,356,462,EXTRAORDINARIA 2,7,13
50,ACATZINGO,201,107,41,0,357,605,BÁSICA,7,13
51,ACATZINGO,169,144,19,0,341,584,CONTIGUA 2,7,13
51,ACATZINGO,208,146,16,0,375,583,BÁSICA,7,13
51,ACATZINGO,221,118,34,1,384,583,CONTIGUA 1,7,13
52,ACATZINGO,231,153,28,0,425,643,CONTIGUA 2,7,13
52,ACATZINGO,222,182,25,0,437,642,CONTIGUA 1,7,13
52,ACATZINGO,237,159,24,0,437,642,BÁSICA,7,13
53,ACATZINGO,145,180,13,0,352,651,BÁSICA,7,13
53,ACATZINGO,143,198,20,0,369,652,CONTIGUA 1,7,13
54,ACATZINGO,162,177,5,0,351,580,CONTIGUA 1,7,13
54,ACATZINGO,176,173,10,0,373,579,BÁSICA,7,13
55,ACATZINGO,113,183,20,0,326,512,CONTIGUA 1,7,13
55,ACATZINGO,112,185,15,0,327,512,CONTIGUA 2,7,13
55,ACATZINGO,142,169,9,0,327,512,BÁSICA,7,13
56,ACATZINGO,83,137,3,0,229,440,BÁSICA,7,13
57,ACATZINGO,184,257,18,0,471,733,BÁSICA,7,13
57,ACATZINGO,186,250,12,0,471,733,CONTIGUA 2,7,13
57,ACATZINGO,199,250,16,0,478,733,CONTIGUA 1,7,13
58,ACATZINGO,179,147,9,0,349,561,CONTIGUA 1,7,13
58,ACATZINGO,155,186,12,0,366,561,BÁSICA,7,13
58,ACATZINGO,202,150,12,0,376,561,CONTIGUA 2,7,13
59,ACATZINGO,133,194,33,0,376,582,BÁSICA,7,13
59,ACATZINGO,195,171,7,0,382,563,EXTRAORDINARIA 1,7,13
59,ACATZINGO,151,202,27,0,397,583,CONTIGUA 1,7,13
60,ACATZINGO,200,178,40,0,444,624,BÁSICA,7,13
60,ACATZINGO,158,245,53,1,469,675,EXTRAORDINARIA 1,7,13
60,ACATZINGO,233,196,35,0,479,625,CONTIGUA 1,7,13
61,ACTEOPAN,84,224,0,0,323,531,BÁSICA,13,22
61,ACTEOPAN,72,234,0,0,325,532,CONTIGUA 1,13,22
62,ACTEOPAN,116,284,0,0,430,729,BÁSICA,13,22
63,ACTEOPAN,21,306,0,0,344,517,BÁSICA,13,22
64,AHUACATLAN,186,171,10,0,389,567,BÁSICA,2,2
64,AHUACATLAN,193,191,8,0,413,568,CONTIGUA 1,2,2
65,AHUACATLAN,168,150,8,2,361,511,CONTIGUA 1,2,2
65,AHUACATLAN,177,153,10,0,367,511,BÁSICA,2,2
65,AHUACATLAN,179,180,7,0,378,512,CONTIGUA 2,2,2
66,AHUACATLAN,159,134,6,0,325,402,CONTIGUA 1,2,2
66,AHUACATLAN,116,202,4,0,332,402,EXTRAORDINARIA 2,2,2
66,AHUACATLAN,147,172,4,0,333,401,EXTRAORDINARIA 1,2,2
66,AHUACATLAN,152,165,0,0,334,401,BÁSICA,2,2
67,AHUACATLAN,209,292,15,0,554,736,BÁSICA,2,2
67,AHUACATLAN,201,339,10,0,574,737,CONTIGUA 1,2,2
68,AHUACATLAN,161,99,6,0,276,326,BÁSICA,2,2
68,AHUACATLAN,192,140,4,0,353,468,EXTRAORDINARIA 1,2,2
68,AHUACATLAN,177,177,3,0,363,469,EXTRAORDINARIA 2,2,2
