SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NVA_ALIANZA,MORENA,ES,PAN_PRD_MC,PAN_PRD,PAN_MC,PRD_MC,PT_MORENA,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,CASILLA
1,BALANCAN,7,84,28,62,,13,1,169,58,0,0,0,0,,446,29,475,667,71.2143,BASICA
1,BALANCAN,9,92,32,56,,7,2,136,32,0,0,0,4,,396,14,410,667,61.4692,CONTIGUA 01
1,BALANCAN,4,82,24,57,,12,5,162,48,1,0,0,1,,418,30,448,666,67.2672,CONTIGUA 02
1,BALANCAN,5,75,29,76,,8,4,153,55,0,0,0,0,,423,14,437,666,65.6156,CONTIGUA 03
2,BALANCAN,6,84,13,85,,12,4,135,55,0,0,0,0,,416,16,432,649,66.5639,BASICA
2,BALANCAN,6,86,27,91,,6,5,146,47,1,0,0,0,,443,21,464,649,71.4946,CONTIGUA 01
2,BALANCAN,5,78,25,107,,10,4,128,46,1,0,0,1,,429,15,444,648,68.5185,CONTIGUA 02
3,BALANCAN,2,80,17,67,,5,3,116,54,0,0,0,0,,368,13,381,549,69.3989,BASICA
3,BALANCAN,5,97,13,53,,2,3,138,48,0,0,0,0,,380,10,390,549,71.0382,CONTIGUA 01
4,BALANCAN,2,65,29,88,,6,1,132,39,0,0,1,1,,382,12,394,531,74.1996,BASICA
4,BALANCAN,3,78,19,75,,3,2,132,40,1,0,0,0,,373,12,385,530,72.6415,CONTIGUA 01
5,BALANCAN,4,70,26,54,,10,4,149,40,1,0,0,0,,377,18,396,563,70.3374,BASICA
5,BALANCAN,4,83,16,56,,6,0,129,52,0,0,0,0,,372,18,390,563,69.2717,CONTIGUA 01
5,BALANCAN,2,74,26,60,,6,2,123,51,0,1,0,0,,373,16,389,562,69.217,CONTIGUA 02
6,BALANCAN,14,90,72,62,,11,2,171,45,4,0,0,0,,504,12,516,705,73.1914,BASICA
6,BALANCAN,0,30,5,24,,0,1,36,27,0,0,1,0,,131,4,135,,,ESPECIAL MR 01
7,BALANCAN,3,88,28,58,,14,1,169,41,3,0,0,0,,456,21,477,604,78.9735,BASICA
7,BALANCAN,0,118,0,50,,0,1,159,37,0,0,0,37,,464,20,484,604,80.1324,CONTIGUA 01
8,BALANCAN,3,64,22,76,,3,3,107,55,2,1,0,1,,346,30,376,545,68.9908,BASICA
8,BALANCAN,2,54,14,89,,5,3,108,49,1,0,0,0,,328,29,357,545,65.5045,CONTIGUA 01
9,BALANCAN,2,44,16,133,,5,5,124,96,0,0,0,0,,427,29,456,641,71.1388,BASICA
