SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,NA,MORENA,PES,"PAN, PRD Y MC",PAN Y PRD,PAN Y MC,PRD Y MC,NUMERO DE VOTOS VALIDOS,NUMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACION CIUDADANA,DISTRITO F,DISTRITO L
1,BALANCAN,5,27,29,86,7,8,2,153,40,2,1,0,0,374,21,396,667,59.3703,1,1
1,BALANCAN,9,52,37,61,5,12,1,89,32,2,1,0,0,319,18,337,667,50.5247,1,1
1,BALANCAN,8,33,35,61,14,24,3,175,44,0,0,0,1,413,35,448,666,67.2672,1,1
1,BALANCAN,9,45,37,63,11,13,3,107,62,1,0,0,0,366,11,377,666,56.6066,1,1
2,BALANCAN,4,46,25,85,5,17,3,164,51,0,1,0,0,418,14,432,649,66.5639,1,1
2,BALANCAN,6,46,44,92,9,14,3,164,55,0,1,0,1,449,15,465,649,71.6486,1,1
2,BALANCAN,9,55,40,90,7,15,2,143,39,0,0,1,2,424,20,444,648,68.5185,1,1
3,BALANCAN,4,43,24,86,4,3,1,130,47,0,0,0,0,342,0,342,549,62.295,1,1
3,BALANCAN,9,38,21,81,8,2,3,138,62,1,0,0,0,376,15,391,549,71.2204,1,1
4,BALANCAN,4,49,28,91,6,10,1,135,45,0,0,0,1,380,15,395,531,74.3879,1,1
4,BALANCAN,2,54,21,79,5,6,4,146,52,1,0,0,0,379,8,387,530,73.0188,1,1
5,BALANCAN,5,27,29,87,7,8,2,143,40,0,0,0,0,362,22,384,563,68.206,1,1
5,BALANCAN,6,40,19,66,5,9,2,147,57,1,0,0,0,375,18,393,563,69.8046,1,1
5,BALANCAN,5,44,37,71,5,6,2,141,42,0,0,0,1,369,21,390,562,69.395,1,1
6,BALANCAN,19,44,64,55,3,0,2,189,94,14,0,0,0,503,13,516,705,73.1914,1,1
6,BALANCAN,4,25,18,38,7,11,1,177,37,1,0,1,0,330,7,337,,,1,1
6,BALANCAN,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,1,1
7,BALANCAN,5,48,33,64,5,18,1,182,50,2,0,0,0,448,29,477,604,78.9735,1,1
7,BALANCAN,0,66,0,47,6,0,1,198,49,34,0,0,0,461,13,474,604,78.4768,1,1
8,BALANCAN,8,50,27,59,5,9,5,117,51,3,0,0,1,341,36,377,545,69.1743,1,1
8,BALANCAN,2,81,21,25,0,5,0,141,5,0,0,0,0,282,6,288,545,52.844,1,1
9,BALANCAN,3,26,32,94,2,6,5,181,78,0,0,0,0,432,25,457,641,71.2948,1,1
9,BALANCAN,2,36,12,98,4,6,5,162,75,0,0,0,0,401,24,425,640,66.4062,1,1
10,BALANCAN,2,30,17,44,2,2,1,32,22,0,0,0,0,153,2,155,201,77.1144,1,1
11,BALANCAN,7,10,10,87,4,5,2,100,137,21,0,0,0,383,25,408,534,76.4044,1,1
12,BALANCAN,7,48,16,38,5,12,11,152,148,0,0,0,1,448,26,474,639,74.1784,1,1
13,BALANCAN,1,41,23,79,5,5,5,166,18,1,0,0,0,347,40,387,531,72.8813,1,1
13,BALANCAN,2,32,15,69,5,15,5,175,12,4,0,0,0,338,30,368,531,69.3032,1,1
14,BALANCAN,5,34,26,85,4,15,1,268,37,3,0,0,0,482,31,513,736,69.701,1,1
15,BALANCAN,6,49,47,83,6,13,10,266,31,1,0,0,1,516,28,544,722,75.3462,1,1
16,BALANCAN,4,44,17,92,0,10,3,280,43,0,0,0,0,500,33,533,723,73.7206,1,1
17,BALANCAN,3,23,12,86,3,10,3,141,23,2,1,0,1,312,22,334,429,77.8554,1,1
17,BALANCAN,3,31,6,81,1,12,1,102,52,0,0,0,0,289,14,303,428,70.7943,1,1
18,BALANCAN,8,56,6,38,2,7,4,91,146,3,0,0,0,365,24,389,511,76.1252,1,1
18,BALANCAN,9,71,4,36,1,4,1,72,120,1,0,0,0,323,22,345,511,67.5146,1,1
19,BALANCAN,1,19,9,27,1,3,1,44,55,0,0,0,0,163,8,171,255,67.0588,1,1
20,BALANCAN,1,19,9,27,1,3,1,44,55,0,0,0,0,163,8,171,636,26.8867,1,1
21,BALANCAN,2,38,11,36,1,7,0,80,24,0,1,0,1,205,8,213,292,72.9452,1,1
22,BALANCAN,5,35,10,26,0,16,2,142,45,0,0,0,0,281,15,296,410,72.1951,1,1
22,BALANCAN,4,30,10,30,4,18,4,131,39,0,0,0,0,273,17,290,410,70.7317,1,1
23,BALANCAN,7,60,16,54,2,8,1,97,44,1,0,0,0,292,25,317,400,79.25,1,1
23,BALANCAN,6,33,31,53,4,8,3,114,52,0,0,0,0,306,16,322,472,68.2203,1,1
24,BALANCAN,10,119,14,76,3,5,5,109,72,2,1,0,0,419,36,455,587,77.5127,1,1
24,BALANCAN,388,107,6,71,2,3,1,119,49,0,0,0,0,749,20,769,587,131.005,1,1
24,BALANCAN,8,126,12,61,4,8,6,118,57,0,0,0,0,406,19,425,587,72.402,1,1
25,BALANCAN,10,15,18,42,10,11,4,83,69,0,0,0,0,269,13,282,389,72.4935,1,1
25,BALANCAN,7,17,14,43,4,5,2,71,77,1,0,0,0,241,0,241,388,62.1134,1,1
27,BALANCAN,16,68,61,10,4,13,0,118,30,1,0,0,1,325,22,347,484,71.6942,1,1
28,BALANCAN,4,51,18,21,1,2,3,90,25,2,0,0,0,226,17,243,399,60.9022,1,1
28,BALANCAN,6,43,23,15,3,3,2,84,35,1,0,0,0,223,12,235,398,59.0452,1,1
29,BALANCAN,5,112,15,89,3,8,3,168,30,0,0,0,0,433,17,450,622,72.3472,1,1
30,BALANCAN,6,35,8,65,2,9,4,151,58,0,0,0,0,338,0,338,483,69.9792,1,1
30,BALANCAN,2,25,21,68,3,6,4,150,51,0,0,0,0,332,15,347,482,71.9917,1,1
30,BALANCAN,0,24,10,12,0,3,2,35,10,0,0,0,0,96,2,98,119,82.3529,1,1
31,BALANCAN,1,38,5,24,0,4,1,35,12,0,1,0,0,121,12,133,198,67.1717,1,1
32,BALANCAN,13,26,20,26,2,13,2,68,75,0,1,0,2,251,0,264,317,83.2807,1,1
33,BALANCAN,11,11,9,8,2,7,3,119,65,0,0,0,0,235,6,241,341,70.6744,1,1
34,BALANCAN,3,54,28,21,2,4,3,37,83,1,0,0,0,237,9,246,391,62.9156,1,1
35,BALANCAN,9,29,58,77,5,6,2,166,57,1,1,0,0,423,34,457,575,79.4782,1,1
35,BALANCAN,2,30,46,66,6,11,1,167,60,1,0,0,0,398,38,448,574,78.0487,1,1
36,BALANCAN,3,55,40,99,11,10,2,183,66,1,0,0,0,470,24,494,654,75.5351,1,1
37,BALANCAN,9,39,35,85,5,4,5,150,112,1,0,0,0,450,20,470,618,76.0517,1,1
37,BALANCAN,6,55,33,74,3,8,0,137,123,0,2,1,0,449,26,475,618,76.8608,1,1
38,BALANCAN,0,61,13,44,7,13,1,132,43,0,0,0,0,321,20,341,433,78.7528,1,1
38,BALANCAN,0,62,12,43,1,7,4,83,74,0,0,0,0,289,18,307,352,87.2159,1,1
39,BALANCAN,11,30,32,46,4,5,2,79,61,0,0,0,0,274,13,287,410,70,1,1
39,BALANCAN,8,18,20,36,2,11,2,75,65,1,2,0,0,240,32,272,410,66.3414,1,1
40,BALANCAN,2,39,7,91,5,8,97,4,2,0,0,0,4,259,19,278,404,68.8118,1,1
40,BALANCAN,22,31,36,38,4,31,2,86,14,0,0,0,2,271,13,284,404,70.297,1,1
41,BALANCAN,9,39,16,42,4,7,2,90,109,0,1,0,0,326,14,340,474,71.7299,1,1
41,BALANCAN,10,32,13,34,3,7,4,90,102,0,0,0,0,307,17,324,473,68.4989,1,1
42,BALANCAN,2,10,17,68,3,4,2,119,12,0,0,0,0,238,0,238,385,61.8181,1,1
42,BALANCAN,3,58,22,66,4,4,0,103,11,0,0,0,0,273,12,285,384,74.2187,1,1
