SECCIÓN ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,MC,NA,MORENA,ES,"PAN, PRD Y MC",PAN Y PRD,PAN Y MC,PRD Y MC,"PT, MORENA Y ES",PT Y MORENA,PT Y ES,MORENA Y ES,NÚMERO DE VOTOS VÁLIDOS,NÚMERO DE VOTOS NULOS,TOTAL DE VOTOS,LISTA NOMINAL,% PARTICIPACIÓN CIUDADANA
0001,BALANCAN,16,39,78,4,29,1,22,28,4,0,0,1,4,3,1,2,245,31,276,667,41.3793
0001,BALANCAN,19,44,76,4,27,3,210,17,2,0,1,0,1,1,0,0,410,26,436,667,65.3673
0001,BALANCAN,20,32,71,7,26,2,214,20,2,0,1,0,3,2,0,1,413,35,448,666,67.2672
0001,BALANCAN,24,38,78,10,26,5,187,24,3,2,0,0,2,0,1,0,416,22,438,666,65.7657
0002,BALANCAN,18,48,71,4,29,3,195,23,0,3,0,1,2,2,0,2,408,14,422,649,65.0231
0002,BALANCAN,20,42,79,7,26,3,213,0,2,0,0,2,0,0,0,1,413,28,441,649,67.9506
0002,BALANCAN,19,31,96,1,24,2,209,18,1,2,0,3,3,1,1,1,425,19,444,648,68.5185
0003,BALANCAN,17,42,46,1,27,0,193,13,1,0,0,0,1,1,0,0,342,0,342,549,62.2950
0003,BALANCAN,19,36,50,2,26,1,201,18,0,0,0,0,2,0,0,1,372,18,390,549,71.0382
0004,BALANCAN,7,35,72,2,23,2,183,23,0,1,0,0,1,0,0,2,366,32,398,531,74.9529
0004,BALANCAN,17,43,65,2,24,2,172,24,1,0,1,0,3,1,0,3,368,17,386,530,72.8301
0005,BALANCAN,14,32,55,4,24,0,188,13,2,2,0,3,4,1,0,0,356,18,375,563,66.6074
0005,BALANCAN,17,36,50,4,23,3,199,15,2,0,0,0,0,1,0,1,366,15,381,563,67.6731
0005,BALANCAN,13,28,68,3,20,2,203,13,4,0,0,0,2,0,0,0,372,17,389,562,69.2170
0006,BALANCAN,33,55,108,1,23,4,234,22,9,0,0,0,0,0,0,0,497,20,517,705,73.3333
0006,BALANCAN,11,32,50,6,20,2,245,26,1,0,1,0,2,0,0,2,398,14,412,,
0007,BALANCAN,12,35,75,6,32,1,240,18,2,0,0,1,0,1,1,4,452,28,480,604,79.4701
0007,BALANCAN,1,57,0,0,1,3,272,0,82,0,0,0,1,0,0,0,450,21,471,604,77.9801
0008,BALANCAN,10,47,42,8,16,6,124,49,2,0,2,1,4,1,0,3,321,58,379,545,69.5412
0008,BALANCAN,9,27,45,6,15,5,130,40,1,0,0,0,2,1,0,3,290,37,327,545,60.0000
0009,BALANCAN,7,21,59,9,33,2,198,57,0,0,0,0,1,0,0,4,402,54,456,641,71.1388
0009,BALANCAN,10,39,36,4,32,5,174,63,0,0,0,0,0,0,0,0,366,49,415,640,64.8437
0010,BALANCAN,11,22,38,4,9,0,39,16,1,0,1,0,0,0,0,0,144,11,155,201,77.1144
0011,BALANCAN,19,12,45,5,16,1,115,104,80,0,0,0,220,0,0,0,617,53,670,534,125.4681
0012,BALANCAN,11,41,34,5,24,6,171,124,1,0,0,0,5,2,0,5,437,32,469,639,73.3959
0013,BALANCAN,6,46,54,4,14,8,167,13,3,0,0,2,4,0,1,1,329,54,383,531,72.1280
0013,BALANCAN,13,25,52,3,27,1,168,8,3,1,0,0,0,0,0,1,304,62,366,531,68.9265
0014,BALANCAN,24,35,72,5,34,3,261,13,4,0,0,1,3,0,0,4,463,52,515,736,69.9728
0015,BALANCAN,14,44,97,6,41,12,248,11,4,0,0,1,2,2,0,2,492,51,543,722,75.2077
0016,BALANCAN,14,54,51,1,20,4,268,20,0,0,0,1,1,1,0,5,446,65,511,723,70.6777
0017,BALANCAN,16,19,58,4,24,4,136,17,4,1,0,1,5,1,0,2,295,39,334,429,77.8554
0017,BALANCAN,16,29,46,4,25,3,103,44,1,0,0,0,1,1,0,2,282,25,307,428,71.7289
0018,BALANCAN,25,53,46,6,15,4,89,103,1,2,0,1,0,0,0,2,353,44,397,511,77.6908
0018,BALANCAN,14,61,29,1,15,1,72,111,2,0,0,0,5,0,0,0,315,40,355,511,69.4716
0019,BALANCAN,8,18,19,2,6,1,58,44,0,0,0,0,1,0,0,1,161,10,171,255,67.0588
0020,BALANCAN,36,28,77,3,32,4,148,70,2,1,0,2,3,1,0,1,411,66,477,636,75.0000
0021,BALANCAN,12,33,21,5,13,1,87,19,0,0,0,0,0,0,0,0,192,21,213,292,72.9452
0022,BALANCAN,4,32,19,2,37,2,131,42,1,0,0,0,0,0,0,0,270,22,292,410,71.2195
0022,BALANCAN,8,28,21,0,32,1,129,83,0,0,1,1,0,0,0,0,309,22,331,410,80.7317
0023,BALANCAN,16,20,81,3,26,0,94,30,5,1,0,0,1,0,0,5,284,27,311,400,77.7500
0023,BALANCAN,12,29,62,3,13,5,112,45,0,0,0,2,0,0,0,0,283,48,332,472,70.3389
0024,BALANCAN,21,107,60,3,25,0,125,55,2,2,1,1,0,0,0,2,408,47,455,587,77.5127
0024,BALANCAN,18,90,37,7,11,3,123,49,1,0,0,0,3,2,0,1,353,35,388,587,66.0988
0024,BALANCAN,19,108,37,5,24,4,140,44,4,0,0,0,2,0,0,0,393,41,434,587,73.9352
0025,BALANCAN,33,19,46,2,19,3,78,49,0,0,0,0,1,0,0,0,258,25,283,389,72.7506
0025,BALANCAN,20,13,40,3,21,1,71,62,4,2,1,0,3,0,0,0,241,15,256,388,65.9793
0027,BALANCAN,15,63,65,3,16,1,127,28,2,1,0,0,2,0,0,0,331,15,346,484,71.4876
0028,BALANCAN,12,42,22,0,7,3,84,22,3,0,0,0,3,1,0,1,216,28,244,399,61.1528
0028,BALANCAN,12,44,21,2,11,2,82,30,1,0,0,1,4,1,0,0,227,10,237,398,59.5477
0029,BALANCAN,17,93,67,2,18,1,162,29,0,0,0,0,1,0,0,2,393,48,441,622,70.9003
0030,BALANCAN,15,24,35,5,10,4,153,48,0,0,0,0,0,0,0,0,304,54,358,483,74.1200
0030,BALANCAN,8,20,45,3,15,3,147,2,0,0,0,2,1,0,1,0,260,50,310,482,64.3153
0030,BALANCAN,2,15,14,3,6,2,40,5,1,1,0,0,0,0,0,0,89,10,99,119,83.1932
0031,BALANCAN,5,28,24,0,10,0,42,9,1,0,0,0,0,0,0,0,120,17,137,198,69.1919
0032,BALANCAN,13,26,20,2,13,2,68,35,0,1,0,2,1,1,0,1,200,37,237,317,74.7634
0033,BALANCAN,20,5,30,0,7,2,114,51,0,0,0,0,4,1,1,2,237,12,249,341,73.0205
0034,BALANCAN,11,43,42,3,10,3,34,78,1,0,0,1,0,0,1,0,228,16,245,391,62.6598
0035,BALANCAN,22,14,110,1,18,3,180,39,2,1,0,0,2,0,0,1,403,48,451,575,78.4347
0035,BALANCAN,13,23,98,6,20,0,153,38,1,1,1,1,2,1,1,3,382,44,436,574,75.9581
0036,BALANCAN,27,38,97,9,36,2,194,42,4,4,0,0,0,0,0,0,471,43,514,654,78.5932
0037,BALANCAN,21,16,146,6,23,0,147,58,1,3,0,3,3,1,0,4,435,37,472,618,76.3754
0037,BALANCAN,19,33,141,3,26,0,155,53,1,2,0,1,0,2,0,0,442,33,475,618,76.8608
0038,BALANCAN,13,37,47,8,19,2,127,33,3,0,0,0,3,0,1,0,301,40,341,433,78.7528
0038,BALANCAN,14,46,44,3,12,2,93,59,1,0,0,0,4,0,0,1,281,26,307,352,87.2159
0039,BALANCAN,19,27,63,8,19,1,82,35,0,0,0,1,1,0,0,0,266,21,287,410,70.0000
0039,BALANCAN,8,17,51,1,21,2,79,45,2,3,1,0,3,0,0,1,235,38,273,410,66.5853
0040,BALANCAN,12,32,41,5,16,1,121,12,4,0,0,0,2,0,0,2,252,46,298,404,73.7623
0040,BALANCAN,22,31,36,4,31,2,86,14,0,0,0,2,1,0,0,0,234,51,285,404,70.5445
0041,BALANCAN,23,36,52,5,7,2,84,92,1,1,0,0,0,0,0,4,315,25,340,474,71.7299
0041,BALANCAN,24,35,35,2,5,1,96,81,0,0,0,0,0,0,0,2,297,29,326,473,68.9217
0042,BALANCAN,12,31,38,3,11,2,125,13,2,0,0,0,2,0,0,1,241,47,288,385,74.8051
0042,BALANCAN,14,51,46,6,14,0,102,9,0,0,0,0,0,0,0,0,242,52,294,384,76.5625
0042,BALANCAN,8,48,45,1,12,2,222,53,0,0,0,0,1,0,0,0,397,60,457,588,77.7210
0042,BALANCAN,18,11,29,4,17,0,88,43,1,0,1,0,1,1,0,2,218,14,232,282,82.2695
0043,BALANCAN,7,34,42,0,12,1,138,42,4,0,0,2,0,1,0,1,295,53,348,494,70.4453
0043,BALANCAN,6,31,41,1,14,2,133,46,1,1,0,0,1,0,0,1,278,48,326,493,66.1257
0044,BALANCAN,26,47,21,5,16,4,144,35,1,1,0,0,2,2,0,2,308,22,330,443,74.4920
0044,BALANCAN,15,13,18,2,8,0,32,49,2,0,0,0,0,0,0,0,139,16,155,214,72.4299
0044,BALANCAN,13,16,15,5,8,2,142,71,0,0,0,0,0,0,0,0,276,21,297,385,77.1428
0045,BALANCAN,17,37,49,8,13,2,170,17,1,0,0,0,1,1,0,0,320,30,350,537,65.1769
0045,BALANCAN,18,55,71,3,23,1,121,76,2,0,0,0,2,0,0,0,373,34,407,534,76.2172
1089,TENOSIQUE,9,67,17,6,24,1,171,4,0,0,0,0,0,0,0,0,300,23,323,432,74.7685
1089,TENOSIQUE,5,70,19,0,4,0,116,2,0,0,0,0,1,2,0,3,223,11,234,278,84.1726
1090,TENOSIQUE,9,144,34,4,10,1,243,1,2,0,0,0,2,0,0,1,452,9,461,706,65.2974
1090,TENOSIQUE,8,100,31,0,12,3,230,0,0,0,0,0,0,0,0,0,384,3,387,706,54.8158
1090,TENOSIQUE,12,96,37,5,12,2,261,0,1,0,0,0,1,0,0,1,432,19,451,705,63.9716
1091,TENOSIQUE,10,62,13,4,8,0,130,2,1,0,0,0,3,0,0,0,235,4,239,395,60.5063
1091,TENOSIQUE,3,69,26,2,7,1,143,2,0,0,0,0,1,1,1,0,257,5,262,394,66.4974
1092,TENOSIQUE,14,159,45,3,9,1,208,5,3,0,0,0,5,0,0,0,454,10,464,628,73.8853
1093,TENOSIQUE,6,108,59,7,16,0,258,3,2,0,1,0,0,0,0,0,460,15,475,703,67.5675
1094,TENOSIQUE,8,82,36,3,8,0,172,2,1,0,0,1,4,1,0,1,323,5,328,463,70.8423
1094,TENOSIQUE,2,93,38,2,4,0,176,2,1,0,0,0,2,0,0,1,322,9,331,463,71.4902
1095,TENOSIQUE,16,138,61,3,13,0,302,0,0,0,0,0,0,1,0,0,539,7,546,679,80.4123
1096,TENOSIQUE,7,98,32,6,9,1,223,1,0,0,0,0,1,2,0,2,387,8,395,565,69.9115
1096,TENOSIQUE,14,91,43,4,12,3,223,9,2,2,0,0,3,1,0,0,411,15,426,565,75.3982
1097,TENOSIQUE,4,77,34,1,12,1,191,2,1,0,0,0,1,2,0,1,329,11,340,478,71.1297
1097,TENOSIQUE,6,78,33,4,7,0,208,3,0,0,0,0,3,0,0,0,342,4,346,477,72.5366
1098,TENOSIQUE,3,129,21,2,9,3,198,2,0,0,0,0,3,4,0,0,377,19,396,561,70.5882
1098,TENOSIQUE,6,97,28,5,24,0,215,2,1,0,0,0,6,0,0,0,386,19,405,561,72.1925
1099,TENOSIQUE,16,155,36,3,7,0,295,1,0,0,0,0,8,0,0,0,521,7,533,747,71.3520
1099,TENOSIQUE,7,111,43,4,11,3,289,4,2,2,1,0,8,0,0,0,488,16,504,746,67.5603
1099,TENOSIQUE,7,42,24,5,9,2,224,3,3,0,0,1,4,0,0,0,330,10,340,,
1100,TENOSIQUE,3,99,26,1,4,1,252,5,0,0,0,0,4,0,0,1,401,26,427,616,69.3181
1100,TENOSIQUE,6,89,26,5,15,1,247,1,1,0,0,1,6,0,0,1,406,12,418,616,67.8571
1100,TENOSIQUE,12,107,20,7,11,1,237,3,0,0,0,1,3,1,0,1,405,22,427,615,69.4308
1100,TENOSIQUE,3,96,30,3,6,0,213,3,0,1,0,0,3,1,1,1,362,15,377,615,61.3008
1101,TENOSIQUE,10,80,21,6,0,0,197,5,0,0,1,0,5,3,0,1,333,18,351,509,68.9587
1101,TENOSIQUE,6,76,24,7,10,2,204,2,2,0,0,0,1,2,0,1,340,7,347,509,68.1728
1101,TENOSIQUE,6,85,18,5,9,4,217,2,1,1,0,0,1,0,0,0,357,12,369,509,72.4950
1102,TENOSIQUE,2,68,45,7,7,3,222,3,1,1,0,0,3,0,0,0,367,9,376,537,70.0186
1102,TENOSIQUE,3,85,38,5,9,3,202,2,3,0,1,0,1,2,0,1,355,19,374,537,69.6461
1103,TENOSIQUE,6,101,27,4,13,2,166,1,0,0,0,0,1,0,0,1,323,8,331,458,72.2707
1103,TENOSIQUE,7,117,34,0,13,0,159,3,1,0,0,0,1,0,0,0,337,14,351,457,76.8052
1104,TENOSIQUE,8,101,46,4,8,0,244,2,0,0,0,2,3,0,0,0,428,4,432,690,62.6086
1104,TENOSIQUE,9,92,42,2,14,4,235,2,2,0,0,0,3,1,0,0,409,21,430,690,62.3188
1104,TENOSIQUE,11,98,48,2,12,0,236,3,2,0,0,0,3,0,0,2,421,11,432,690,62.6086
1104,TENOSIQUE,12,97,59,3,13,1,245,4,0,0,0,0,0,0,0,0,439,21,460,690,66.6666
1105,TENOSIQUE,11,104,42,3,6,0,202,2,2,0,0,0,2,0,0,1,378,17,395,598,66.0535
1105,TENOSIQUE,4,99,32,3,5,0,208,2,1,1,0,0,0,0,1,1,357,0,357,597,59.7989
1105,TENOSIQUE,6,94,31,2,12,1,227,5,0,0,0,0,5,0,0,0,388,23,411,597,68.8442
1106,TENOSIQUE,10,105,43,2,8,4,273,3,2,0,0,0,0,0,0,0,455,21,476,695,68.4892
1106,TENOSIQUE,8,124,33,7,10,0,251,4,1,1,0,0,1,0,0,0,445,16,461,695,66.3309
1107,TENOSIQUE,15,65,33,5,6,3,241,5,1,0,0,0,6,2,0,1,387,10,397,601,66.0565
1107,TENOSIQUE,5,87,29,4,6,0,204,4,0,1,0,0,1,0,0,0,343,12,355,466,76.1802
1108,TENOSIQUE,3,79,17,7,5,1,236,3,0,0,1,0,2,0,0,3,357,5,362,464,78.0172
1108,TENOSIQUE,9,90,18,4,2,0,205,0,2,0,0,1,0,1,0,0,332,9,341,463,73.6501
1109,TENOSIQUE,7,101,39,1,9,1,140,3,0,0,0,0,1,0,0,0,302,11,314,376,83.5106
1109,TENOSIQUE,4,47,20,8,2,2,112,3,0,0,0,0,0,0,0,0,198,10,208,301,69.1029
1110,TENOSIQUE,5,47,20,3,5,0,130,3,0,0,0,0,3,1,0,0,221,1,222,271,81.9188
1111,TENOSIQUE,4,105,47,5,11,1,221,4,0,0,0,0,1,1,1,1,404,24,428,662,64.6525
1112,TENOSIQUE,3,52,16,1,6,0,139,2,0,0,0,0,0,0,0,0,219,11,230,305,75.4098
1113,TENOSIQUE,6,102,18,3,10,2,252,8,0,0,0,0,0,4,0,2,412,12,424,523,81.0707
1113,TENOSIQUE,5,98,41,4,7,7,236,3,0,1,0,0,0,4,0,0,409,16,425,522,81.4176
1114,TENOSIQUE,69,140,0,0,0,0,310,0,0,0,0,0,0,0,0,0,521,11,532,682,78.0058
1114,TENOSIQUE,0,58,14,3,4,4,133,0,0,0,0,0,2,1,0,0,220,14,234,298,78.5234
1115,TENOSIQUE,8,137,52,2,19,2,267,4,2,1,0,0,4,1,0,0,502,15,518,677,76.5140
1116,TENOSIQUE,13,29,29,13,15,1,178,5,0,0,0,0,0,0,0,0,283,3,286,441,64.8526
1116,TENOSIQUE,4,52,13,6,6,1,155,3,0,0,0,0,4,1,0,2,250,20,270,441,61.2244
1117,TENOSIQUE,14,82,38,8,10,2,233,1,1,0,0,0,1,0,0,1,394,23,417,598,69.7324
