SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,CPP,PSI,MORENA,PES,PANAL,C_PRD_MC_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PAN_PRD_MC_CPP,C_PAN_PRD_MC,C_PAN_PRD_CPP,C_PAN_MC_CPP,C_PRD_MC_CPP,C_PAN_PRD,C_PAN_MC,C_PAN_CPP,C_PRD_MC,C_PRD_CPP,C_MC_CPP,C_PT_PVEM_MORENA_PES,C_PT_PVEM_MORENA,C_PT_PVEM_PES,C_PT_MORENA_PES,C_PVEM_MORENA_PES,C_PT_PVEM,C_PT_MORENA,C_PT_PES,C_PVEM_MORENA,C_PVEM_PES,C_MORENA_PES,C_PT_MORENA_PES,C_PT_MORENA,C_PT_PES,C_MORENA_PES,C_PAN_CPP,C_PRI_CPP,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
75,AHUAZOTEPEC,8,163,0,5,0,0,4,66,82,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0,365,571,B,2,3
75,AHUAZOTEPEC,11,150,0,10,2,0,2,103,55,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,375,570,C,2,3
75,AHUAZOTEPEC,9,162,0,7,0,0,1,72,79,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,381,570,C,2,3
76,AHUAZOTEPEC,8,137,0,15,3,0,5,54,93,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,3,0,1,0,0,0,0,0,0,2,0,371,609,B,2,3
76,AHUAZOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,C,2,3
76,AHUAZOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,C,2,3
76,AHUAZOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609,C,2,3
77,AHUAZOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,B,2,3
77,AHUAZOTEPEC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,591,C,2,3
77,AHUAZOTEPEC,7,106,0,18,4,0,0,112,109,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,406,590,C,2,3
77,AHUAZOTEPEC,6,97,0,23,1,0,3,124,122,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,2,0,0,0,0,0,0,430,590,C,2,3
77,AHUAZOTEPEC,1,125,0,6,3,0,2,83,30,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,272,325,E,2,3
