SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,CAND_IND_3,PAN0PRI0PRD,PAN0PRI,PAN0PRD,PRI0PRD,PVEM0PT0MORENA,PVEM0PT,PVEM0MORENA,PT0MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1720,SAN MARTIN TEXMELUCAN,61,26,3,9,28,37,96,7,3,15,0,0,0,2,1,0,0,1,0,0,2,308,681,B,5,7
1720,SAN MARTIN TEXMELUCAN,57,20,3,10,20,41,99,15,6,19,0,0,0,1,4,3,0,0,0,0,3,319,681,C,5,7
1720,SAN MARTIN TEXMELUCAN,46,21,7,13,28,50,106,10,1,24,0,0,0,1,1,1,0,1,0,0,2,328,681,C,5,7
1720,SAN MARTIN TEXMELUCAN,54,29,8,13,20,42,88,15,6,14,0,0,0,1,0,1,0,0,0,0,2,298,681,C,5,7
1720,SAN MARTIN TEXMELUCAN,40,11,3,13,32,55,116,10,4,8,0,0,0,0,2,0,0,1,1,0,1,317,681,C,5,7
1720,SAN MARTIN TEXMELUCAN,65,22,5,17,26,50,107,11,4,23,0,0,0,3,0,0,0,0,0,1,5,350,681,C,5,7
1720,SAN MARTIN TEXMELUCAN,41,36,6,11,24,54,96,9,4,26,0,0,0,2,1,1,0,3,0,0,1,331,680,C,5,7
1721,SAN MARTIN TEXMELUCAN,63,35,7,16,26,34,81,10,4,17,0,0,0,0,0,0,0,0,0,0,0,301,646,B,5,7
1721,SAN MARTIN TEXMELUCAN,46,23,9,11,21,30,106,20,6,17,0,0,0,0,1,1,0,0,1,0,8,312,646,C,5,7
1721,SAN MARTIN TEXMELUCAN,45,23,6,6,35,35,83,9,3,0,0,0,0,0,0,0,0,0,0,0,0,259,646,C,5,7
1721,SAN MARTIN TEXMELUCAN,50,24,7,16,23,34,88,11,3,19,0,0,0,2,2,0,0,0,0,0,1,297,646,C,5,7
1721,SAN MARTIN TEXMELUCAN,42,25,8,11,27,28,94,8,4,10,0,0,0,2,0,1,0,2,0,1,4,276,646,C,5,7
1722,SAN MARTIN TEXMELUCAN,53,22,11,11,28,40,95,11,6,11,0,0,0,3,0,0,1,0,0,0,1,303,610,B,5,7
1722,SAN MARTIN TEXMELUCAN,57,20,2,20,24,38,69,9,5,14,0,0,0,2,1,0,0,0,0,1,7,282,609,C,5,7
1722,SAN MARTIN TEXMELUCAN,50,13,6,9,26,45,80,13,5,20,0,0,0,1,0,1,0,2,0,0,2,280,609,C,5,7
1723,SAN MARTIN TEXMELUCAN,66,40,10,19,25,45,89,12,5,28,0,0,0,2,0,3,2,0,0,0,3,365,658,B,5,7
1723,SAN MARTIN TEXMELUCAN,48,28,4,11,22,42,122,22,3,19,0,0,0,3,2,0,0,0,0,0,2,346,657,C,5,7
1724,SAN MARTIN TEXMELUCAN,68,38,8,24,34,63,112,19,6,22,0,0,0,0,0,0,0,0,0,0,0,410,725,B,5,7
1724,SAN MARTIN TEXMELUCAN,69,35,6,20,27,53,132,14,6,23,0,0,0,0,0,0,0,0,0,0,0,412,724,C,5,7
1725,SAN MARTIN TEXMELUCAN,59,35,9,17,13,34,94,14,4,17,0,0,0,6,0,1,0,2,0,0,3,321,625,B,5,7
1725,SAN MARTIN TEXMELUCAN,73,37,6,13,19,48,100,18,8,17,0,0,0,1,0,1,0,1,0,0,3,359,624,C,5,7
1726,SAN MARTIN TEXMELUCAN,47,20,8,10,16,38,74,8,4,12,0,0,0,3,0,0,0,3,2,1,2,255,428,B,5,7
1726,SAN MARTIN TEXMELUCAN,54,33,6,1,21,43,86,12,3,7,0,0,0,2,2,2,0,0,0,0,1,281,427,C,5,7
1727,SAN MARTIN TEXMELUCAN,37,27,5,15,21,53,77,13,5,22,0,0,0,2,0,0,0,1,0,0,0,292,564,B,5,7
1727,SAN MARTIN TEXMELUCAN,44,29,5,12,18,45,89,12,1,14,0,0,0,1,1,0,0,0,0,0,1,289,564,C,5,7
1727,SAN MARTIN TEXMELUCAN,49,23,5,27,30,36,76,13,3,13,0,0,0,1,0,0,0,0,0,0,4,299,563,C,5,7
1728,SAN MARTIN TEXMELUCAN,50,25,5,20,34,39,85,14,6,12,0,0,0,2,0,0,1,1,1,0,3,304,558,B,5,7
1728,SAN MARTIN TEXMELUCAN,47,29,3,23,30,43,81,6,2,17,0,0,0,0,0,1,0,0,0,0,0,291,558,C,5,7
1729,SAN MARTIN TEXMELUCAN,77,44,5,21,28,42,102,10,5,17,0,0,0,5,1,1,0,2,0,0,3,379,614,B,5,7
1729,SAN MARTIN TEXMELUCAN,82,43,10,20,18,40,108,11,3,26,0,0,0,2,0,0,0,2,1,0,3,382,613,C,5,7
1730,SAN MARTIN TEXMELUCAN,77,55,11,35,43,50,95,7,7,16,0,0,0,0,0,0,0,0,1,0,2,409,699,B,5,7
1730,SAN MARTIN TEXMELUCAN,62,36,8,24,53,42,118,15,2,15,0,0,0,6,0,0,1,0,0,1,2,403,698,C,5,7
1731,SAN MARTIN TEXMELUCAN,80,43,1,17,24,37,99,13,4,29,0,0,0,1,0,1,0,0,1,0,3,366,621,B,5,7
1732,SAN MARTIN TEXMELUCAN,47,34,5,19,28,51,91,14,3,21,0,0,0,1,2,0,0,1,0,2,3,340,600,B,5,7
1732,SAN MARTIN TEXMELUCAN,68,34,1,15,25,46,97,12,9,18,0,0,0,1,1,1,0,0,1,0,1,344,599,C,5,7
1733,SAN MARTIN TEXMELUCAN,46,15,4,16,19,40,99,8,5,11,0,0,0,1,0,1,0,0,0,0,1,275,529,B,5,7
1733,SAN MARTIN TEXMELUCAN,50,18,2,12,20,37,105,6,0,11,0,0,0,1,2,0,0,1,0,1,1,276,529,C,5,7
1733,SAN MARTIN TEXMELUCAN,43,17,5,12,15,45,88,8,3,13,0,0,0,1,1,0,0,0,0,0,2,266,529,C,5,7
1734,SAN MARTIN TEXMELUCAN,59,23,6,19,31,60,112,16,1,22,0,0,0,4,1,2,0,1,0,0,0,371,681,B,5,7
1734,SAN MARTIN TEXMELUCAN,43,25,7,14,28,65,131,12,4,21,0,0,0,4,2,0,1,1,0,0,4,377,680,C,5,7
1735,SAN MARTIN TEXMELUCAN,63,31,0,6,19,62,82,9,1,23,0,0,0,1,0,0,0,0,0,0,5,312,561,B,5,7
1735,SAN MARTIN TEXMELUCAN,59,40,7,12,17,39,69,10,4,17,0,0,0,0,0,1,0,0,0,0,0,283,561,C,5,7
1735,SAN MARTIN TEXMELUCAN,76,43,5,16,43,43,143,12,4,17,0,0,0,0,0,0,0,0,0,0,0,421,0,S,5,7
1735,SAN MARTIN TEXMELUCAN,55,29,2,9,19,22,108,5,2,8,0,0,0,0,0,0,0,0,0,0,0,259,0,S,5,7
1736,SAN MARTIN TEXMELUCAN,79,39,8,19,16,49,57,15,1,8,0,0,0,5,0,0,0,1,0,0,0,309,497,B,5,7
