SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,ES,PCPP,PSI,NAP,PES,RSP,FXM,CAND_IND_1,CAND_IND_2,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
535,FRANCISCO Z. MENA,116,51,3,40,3,48,87,0,1,0,0,14,0,28,0,0,409,586,B,1,1
535,FRANCISCO Z. MENA,115,30,3,48,3,29,102,0,0,0,2,23,0,22,0,0,384,586,C,1,1
535,FRANCISCO Z. MENA,115,45,6,40,1,45,107,0,0,0,3,16,0,31,0,0,415,586,C,1,1
535,FRANCISCO Z. MENA,142,40,7,55,3,44,87,0,0,0,0,19,0,22,0,0,431,585,C,1,1
536,FRANCISCO Z. MENA,141,54,3,36,2,33,91,0,0,0,1,28,0,33,0,0,431,595,B,1,1
536,FRANCISCO Z. MENA,143,29,2,47,0,34,83,0,0,0,0,20,0,23,0,0,395,595,C,1,1
536,FRANCISCO Z. MENA,159,53,2,26,0,30,90,0,0,0,2,27,0,19,0,0,413,594,C,1,1
537,FRANCISCO Z. MENA,84,14,6,17,1,13,93,0,0,0,0,11,0,33,0,0,283,398,B,1,1
537,FRANCISCO Z. MENA,79,25,3,18,2,5,70,0,1,0,1,13,0,45,0,0,265,397,C,1,1
537,FRANCISCO Z. MENA,164,20,5,30,4,25,103,0,0,0,2,66,0,42,0,0,472,694,E,1,1
538,FRANCISCO Z. MENA,178,52,3,20,5,20,136,0,0,0,0,42,0,29,0,0,504,693,B,1,1
538,FRANCISCO Z. MENA,133,27,3,37,1,20,144,0,0,0,0,21,0,5,0,0,401,584,E,1,1
538,FRANCISCO Z. MENA,114,35,2,44,1,14,126,0,1,0,1,34,0,7,0,0,384,583,E,1,1
539,FRANCISCO Z. MENA,100,12,4,34,2,20,81,0,0,0,1,23,0,34,0,0,319,421,B,1,1
539,FRANCISCO Z. MENA,90,19,3,38,3,17,62,0,2,0,1,30,0,40,0,0,315,420,C,1,1
540,FRANCISCO Z. MENA,88,16,2,5,1,75,12,0,2,0,1,15,0,8,0,0,236,276,B,1,1
540,FRANCISCO Z. MENA,117,58,4,11,3,54,91,0,0,0,2,22,0,48,0,0,414,578,E,1,1
541,FRANCISCO Z. MENA,146,34,5,76,3,3,31,0,0,0,4,24,0,34,0,0,373,516,B,1,1
