SECCION ELECTORAL,MUNICIPIO,EXTRA DATA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
933,PUEBLA,3,,,,,
934,PUEBLA,3,,,,,
935,PUEBLA,3,,,,,
936,PUEBLA,3,,,,,
937,PUEBLA,3,,,,,
938,PUEBLA,3,,,,,
939,PUEBLA,3,,,,,
943,PUEBLA,2,,,,,
950,PUEBLA,1,,,,,
951,PUEBLA,1,,,,,
953,PUEBLA,2,,,,,
956,PUEBLA,2,,,,,
965,PUEBLA,3,,,,,
966,PUEBLA,3,,,,,
967,PUEBLA,3,,,,,
968,PUEBLA,3,,,,,
969,PUEBLA,3,,,,,
971,PUEBLA,3,,,,,
978,PUEBLA,2,,,,,
979,PUEBLA,2,,,,,
987,PUEBLA,3,,,,,
988,PUEBLA,3,,,,,
989,PUEBLA,3,,,,,
990,PUEBLA,3,,,,,
991,PUEBLA,3,,,,,
992,PUEBLA,3,,,,,
998,PUEBLA,2,,,,,
1006,PUEBLA,2,,,,,
1008,PUEBLA,1,,,,,
1021,PUEBLA,3,,,,,
1032,PUEBLA,2,,,,,
1035,PUEBLA,1,,,,,
1046,PUEBLA,2,,,,,
1050,PUEBLA,1,,,,,
1055,PUEBLA,1,,,,,
1058,PUEBLA,1,,,,,
1060,PUEBLA,1,,,,,
1061,PUEBLA,1,,,,,
1062,PUEBLA,1,,,,,
1065,PUEBLA,1,,,,,
1066,PUEBLA,3,,,,,
1070,PUEBLA,1,,,,,
1072,PUEBLA,1,,,,,
1074,PUEBLA,2,,,,,
1076,PUEBLA,1,,,,,
1077,PUEBLA,1,,,,,
1078,PUEBLA,1,,,,,
1080,PUEBLA,3,,,,,
1081,PUEBLA,3,,,,,
1082,PUEBLA,3,,,,,
1083,PUEBLA,3,,,,,
1084,PUEBLA,3,,,,,
1085,PUEBLA,3,,,,,
1102,PUEBLA,2,,,,,
1103,PUEBLA,3,,,,,
1104,PUEBLA,3,,,,,
1106,PUEBLA,3,,,,,
1107,PUEBLA,3,,,,,
1108,PUEBLA,3,,,,,
1109,PUEBLA,3,,,,,
1110,PUEBLA,3,,,,,
1112,PUEBLA,3,,,,,
1113,PUEBLA,3,,,,,
1114,PUEBLA,3,,,,,
1115,PUEBLA,3,,,,,
1116,PUEBLA,3,,,,,
1119,PUEBLA,3,,,,,
1121,PUEBLA,2,,,,,
1124,PUEBLA,2,,,,,
1127,PUEBLA,1,,,,,
1128,PUEBLA,1,,,,,
1134,PUEBLA,2,,,,,
1139,PUEBLA,3,,,,,
1142,PUEBLA,2,,,,,
1148,PUEBLA,2,,,,,
1150,PUEBLA,2,,,,,
1151,PUEBLA,2,2,,,,
1152,PUEBLA,3,2,,,,
1157,PUEBLA,2,2,,,,
1163,PUEBLA,2,2,,,,
1168,PUEBLA,2,2,,,,
1171,PUEBLA,2,2,,,,
1177,PUEBLA,2,2,,,,
1179,PUEBLA,2,2,,,,
1183,PUEBLA,2,2,,,,
1188,PUEBLA,1,2,,,,
1192,PUEBLA,2,2,,,,
1193,PUEBLA,1,2,,,,
1196,PUEBLA,1,2,,,,
1199,PUEBLA,1,2,,,,
1200,PUEBLA,1,2,,,,
1201,PUEBLA,1,2,,,,
1204,PUEBLA,1,2,,,,
1205,PUEBLA,1,2,,,,
1206,PUEBLA,1,2,,,,
