SECCION ELECTORAL,MUNICIPIO,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,CASILLA,DISTRITO F,DISTRITO L
1302,PUEBLA,175,19,29,26,20,38,97,22,3,6,0,16,0,0,1,459,687,B,6,16
1303,PUEBLA,91,30,1,3,2,5,52,19,1,1,0,18,6,6,0,249,719,B,6,16
1303,PUEBLA,95,30,3,11,3,7,56,14,4,1,0,27,1,5,2,269,718,C,6,16
1304,PUEBLA,104,19,3,13,3,2,86,22,1,0,0,17,1,2,2,282,605,B,6,10
1304,PUEBLA,120,16,3,8,5,17,73,14,3,3,0,15,1,5,0,290,605,C,6,10
1304,PUEBLA,109,33,2,9,3,7,82,17,0,1,1,12,1,1,1,284,605,C,6,10
1319,PUEBLA,54,17,2,15,5,5,53,15,2,0,0,14,3,4,1,192,524,B,6,16
1319,PUEBLA,75,17,7,13,5,1,65,6,2,2,0,22,0,3,0,228,524,C,6,16
1319,PUEBLA,42,21,3,9,6,0,55,8,0,2,0,11,1,1,1,170,524,C,6,16
1320,PUEBLA,95,28,3,19,8,9,119,26,4,3,0,22,0,3,1,345,689,B,6,10
1320,PUEBLA,149,38,4,14,11,5,89,16,2,3,0,32,0,3,0,382,689,C,6,10
1320,PUEBLA,132,24,4,13,2,7,97,30,2,1,0,19,1,4,0,346,689,C,6,10
1320,PUEBLA,129,25,2,4,4,10,95,19,2,3,0,16,1,4,1,325,689,C,6,10
1327,PUEBLA,83,24,0,16,0,3,47,20,1,1,1,14,0,1,1,220,509,B,6,10
1327,PUEBLA,76,24,2,10,5,2,36,8,0,0,0,15,0,0,0,189,509,C,6,10
1327,PUEBLA,67,28,4,10,3,1,36,12,1,1,0,17,0,4,0,190,508,C,6,10
1331,PUEBLA,75,37,2,4,5,7,64,7,0,3,0,15,2,3,4,238,626,B,6,10
1331,PUEBLA,90,31,1,9,5,11,41,19,2,2,1,18,1,4,1,244,626,C,6,10
1332,PUEBLA,73,15,5,9,2,2,29,11,1,0,1,13,0,1,1,166,428,B,6,10
1332,PUEBLA,79,12,4,9,8,1,35,8,4,0,0,13,0,1,0,179,428,C,6,10
1333,PUEBLA,65,45,2,7,4,8,53,10,1,0,0,20,0,1,0,228,574,B,6,10
1333,PUEBLA,84,34,3,7,8,5,36,12,4,2,0,16,1,2,2,226,574,C,6,10
1334,PUEBLA,64,28,3,9,5,4,45,14,0,3,1,19,2,1,2,210,527,B,6,10
1334,PUEBLA,84,26,1,8,2,1,42,11,1,1,0,19,1,1,1,212,526,C,6,10
1335,PUEBLA,69,20,2,7,6,5,56,12,0,2,0,11,0,0,1,197,450,B,6,10
1335,PUEBLA,78,35,2,6,4,3,50,9,0,3,0,12,0,4,0,210,450,C,6,10
1336,PUEBLA,56,13,2,7,3,3,58,9,2,0,0,4,2,2,2,170,439,B,6,10
1337,PUEBLA,101,15,4,7,4,8,48,12,3,2,0,9,0,5,0,226,493,B,6,10
1337,PUEBLA,103,15,4,2,7,5,45,14,2,1,0,6,0,2,0,209,493,C,6,10
1338,PUEBLA,54,26,2,9,3,2,63,8,0,1,0,13,0,3,1,193,587,B,6,16
1338,PUEBLA,45,21,3,7,8,0,45,1,10,2,1,18,0,3,2,177,521,C,6,16
1338,PUEBLA,48,37,2,10,6,3,46,17,0,1,0,21,1,5,1,203,521,C,6,16
1339,PUEBLA,78,32,5,8,2,7,52,24,0,0,0,21,3,4,3,246,712,B,6,16
1339,PUEBLA,87,31,5,16,4,7,53,21,0,2,1,21,3,4,2,270,712,C,6,16
1340,PUEBLA,82,34,3,6,8,1,67,17,0,1,1,22,4,1,0,250,614,B,6,16
1340,PUEBLA,68,31,1,6,8,2,61,13,0,0,0,26,5,2,0,232,614,C,6,16
1341,PUEBLA,79,12,2,16,5,7,52,8,0,2,0,17,1,4,1,210,561,B,6,16
