JA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,C_PAN_PRD_MC,C_PAN_PRD,C_PAN_MC,C_PRD_MC,C_PT_PVEM_MORENA,C_PT_PVEM,C_PT_MORENA,C_PVEM_MORENA,TOTAL DE VOTOS,LISTA NOMINAL,PRIORIDAD
San Baltazar Campeche," 56,555 "," 13,802 "," 1,992 "," 5,421 "," 2,575 "," 3,186 "," 28,419 "," 9,877 "," 1,099 ", 951 , 199 ," 7,766 ", 530 ," 1,190 ", 654 ," 138,518 "," 357,058 ",ALTA (AAA)
Ignacio Zaragoza," 13,943 "," 4,899 ", 514 ," 1,657 ", 841 , 849 ," 8,380 "," 2,367 ", 286 , 225 , 45 ," 2,537 ", 215 , 381 , 241 ," 38,686 "," 110,714 ",MEDIA (AA)
San Francisco Totimehuacan," 9,731 "," 4,037 ", 424 ," 1,604 ", 657 , 662 ," 6,484 "," 1,738 ", 216 , 196 , 30 ," 2,007 ", 217 , 284 , 170 ," 29,626 "," 100,537 ",BAJA (A)
Ignacio Romero Vargas," 9,416 "," 2,452 ", 302 ," 1,063 ", 504 , 493 ," 4,606 "," 1,738 ", 176 , 205 , 19 ," 1,464 ", 152 , 209 , 111 ," 24,383 "," 74,054 ",BAJA (A)
San Jerónimo Caleras," 9,597 "," 2,286 ", 309 , 967 , 445 , 534 ," 4,532 "," 1,688 ", 183 , 161 , 23 ," 1,279 ", 101 , 191 , 114 ," 23,172 "," 64,651 ",BAJA (A)
La Resurrección," 4,521 "," 2,231 ", 202 , 934 , 524 , 309 ," 4,065 ", 846 , 125 , 115 , 34 ," 1,423 ", 168 , 214 , 124 ," 16,518 "," 63,256 ",BAJA (A)
San Felipe Hueyotlipan," 5,768 "," 1,455 ", 225 , 591 , 284 , 293 ," 3,330 ", 973 , 94 , 58 , 12 , 826 , 50 , 124 , 84 ," 15,001 "," 35,631 ",BAJA (A)
San Sebastián de Aparicio," 3,516 "," 1,442 ", 173 , 584 , 299 , 222 ," 2,314 ", 719 , 133 , 231 , 31 , 761 , 75 , 163 , 90 ," 11,158 "," 35,400 ",BAJA (A)
La Libertad," 4,404 ", 988 , 178 , 448 , 210 , 221 ," 2,207 ", 724 , 74 , 87 , 9 , 575 , 43 , 59 , 37 ," 10,586 "," 27,536 ",BAJA (A)
San Pablo Xochimehuacan," 1,858 ", 968 , 106 , 415 , 234 , 119 ," 1,551 ", 318 , 46 , 39 , 14 , 482 , 62 , 81 , 42 ," 6,565 "," 30,650 ",BAJA (A)
San Miguel Canoa, 569 , 908 , 26 , 435 , 145 , 35 , 597 , 84 , 10 , 7 , 1 , 182 , 41 , 14 , 19 ," 3,139 "," 13,752 ",BAJA (A)
San Baltazar Tetela, 596 , 715 , 30 , 195 , 256 , 36 , 673 , 90 , 14 , 16 , -   , 185 , 24 , 31 , 23 ," 2,928 "," 9,202 ",BAJA (A)
Santa María Xonacatepec, 485 , 320 , 34 , 115 , 61 , 26 , 378 , 87 , 8 , 15 , 1 , 131 , 17 , 18 , 16 ," 1,779 "," 7,272 ",BAJA (A)
San Andrés Azumiatla, 281 , 626 , 27 , 153 , 33 , 13 , 140 , 26 , 4 , 8 , 2 , 62 , 15 , 5 , 4 ," 1,466 "," 6,053 ",BAJA (A)
San Pedro Zacachimalpa, 193 , 255 , 7 , 62 , 134 , 5 , 184 , 16 , 2 , -   , -   , 58 , 11 , 7 , 8 , 955 ," 3,319 ",BAJA (A)
