,SECCION ELECTORAL,PVEM,MC,GANADOR
0,1302,20,38,MC
1,1303,5,12,MC
2,1304,11,26,MC
3,1319,16,6,PVEM
4,1320,25,31,MC
5,1327,8,6,PVEM
6,1331,10,18,MC
7,1332,10,3,PVEM
8,1333,12,13,MC
9,1334,7,5,PVEM
10,1335,10,8,PVEM
11,1336,3,3,PVEM
12,1337,11,13,MC
13,1338,17,5,PVEM
14,1339,6,14,MC
15,1340,16,3,PVEM
16,1341,8,10,MC
17,1342,10,11,MC
18,1343,3,2,PVEM
19,1344,3,4,MC
20,1345,11,5,PVEM
21,1346,7,12,MC
22,1347,64,19,PVEM
23,1352,10,16,MC
24,1353,6,8,MC
25,1354,15,13,PVEM
26,1355,10,23,MC
27,1356,10,9,PVEM
28,1357,8,5,PVEM
29,1358,9,13,MC
30,1359,20,19,PVEM
31,1360,9,10,MC
32,1361,18,12,PVEM
33,1362,14,14,PVEM
34,1363,4,11,MC
35,1364,14,7,PVEM
36,1370,10,14,MC
37,1371,18,11,PVEM
38,1372,17,14,PVEM
39,1373,4,7,MC
40,1374,14,27,MC
41,1375,32,19,PVEM
42,1376,8,7,PVEM
43,1377,14,12,PVEM
44,1381,6,4,PVEM
45,1382,8,21,MC
46,1383,6,17,MC
47,1384,6,8,MC
48,1385,3,8,MC
49,1386,16,15,PVEM
50,1387,11,8,PVEM
51,1388,4,8,MC
52,1389,11,11,PVEM
53,1390,38,33,PVEM
54,1391,12,19,MC
55,1396,52,33,PVEM
56,1397,41,31,PVEM
57,1398,41,19,PVEM
58,1399,7,11,MC
59,1400,15,33,MC
60,1401,8,10,MC
61,1402,5,10,MC
62,1403,12,6,PVEM
63,1404,6,8,MC
64,1405,67,68,MC
65,1408,48,14,PVEM
66,1409,49,6,PVEM
67,1410,57,15,PVEM
68,1411,86,36,PVEM
69,1412,21,9,PVEM
70,1413,78,43,PVEM
71,1414,35,4,PVEM
72,1415,104,65,PVEM
73,1416,61,22,PVEM
74,1417,61,26,PVEM
75,1418,36,3,PVEM
76,1419,24,8,PVEM
77,1420,48,11,PVEM
78,1421,19,4,PVEM
79,1422,18,9,PVEM
80,1491,12,11,PVEM
81,1541,17,8,PVEM
82,1542,20,15,PVEM
83,1543,10,6,PVEM
84,1544,14,16,MC
85,1545,7,8,MC
86,1546,7,9,MC
87,1547,9,11,MC
88,1548,6,27,MC
89,1549,7,7,PVEM
90,1550,30,12,PVEM
91,1551,16,12,PVEM
92,1568,7,7,PVEM
93,1569,16,19,MC
94,1570,12,9,PVEM
95,1571,11,13,MC
96,1572,10,17,MC
97,1573,10,7,PVEM
98,1574,12,4,PVEM
99,1575,11,15,MC
100,1576,10,3,PVEM
101,1577,11,16,MC
102,1578,32,21,PVEM
103,1579,21,20,PVEM
104,1580,9,16,MC
105,1581,9,10,MC
106,1583,21,15,PVEM
107,1584,15,20,MC
108,1585,5,16,MC
109,1586,88,114,MC
110,1587,53,74,MC
111,1588,27,22,PVEM
112,1595,43,41,PVEM
113,1596,118,83,PVEM
114,1597,2,5,MC
115,1601,13,4,PVEM
116,2622,15,5,PVEM
117,2623,6,12,MC
118,2624,4,2,PVEM
119,2626,10,3,PVEM
120,2627,4,9,MC
121,2628,6,8,MC
122,2629,16,7,PVEM
123,2630,8,6,PVEM
124,2631,17,8,PVEM
125,2632,12,10,PVEM
